nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Casa en Urb. Les Ginesteres,PREMIUM HOUSES,10 €/m²,3.300 €/mes,302 m²,https://www.pisos.com/alquilar/casa-argentona_centro_urbano-45090617854_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,302 m²,257 m²,5,3,,,Entre 10 y 20 años,,SA1393-PH103164/3699,1,,,,,,N/A,,,N/A,,1,,,,,,,N/A,N/A,Propia,,,,N/A,N/A,942 m²,,,,,,,,,,,
Piso en Carrer de Sant Pere Màrtir,Ukio,32 €/m²,2.635 €/mes,80 m²,https://www.pisos.com/alquilar/piso-la_vila_de_gracia08012-40868724282_100500/,Anuncio actualizado el 09/12/2024,"E, E","E, E",barcelona,80 m²,,1,1,1ª,N/A,,En buen estado,SA5112-VELEZ,1,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,24 €/m²,2.945 €/mes,120 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08009-49170418094_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,120 m²,,2,2,4ª,N/A,,En buen estado,SA5112-KULELI,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer d'Aribau,Ukio,29 €/m²,2.660 €/mes,90 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08008-40846461900_100500/,Anuncio actualizado el 19/12/2024,"E, E","E, E",barcelona,90 m²,,2,1,1ª,N/A,,En buen estado,SA5112-KAKWA,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de la Creu dels Molers,WALTER HAUS,26 €/m²,1.400 €/mes,52 m²,https://www.pisos.com/alquilar/piso-el_poble_sec08004-10842008548_101800/,Anuncio actualizado el 02/02/2025,"F, E","F, E",barcelona,52 m²,,1,1,1ª,,,,IF7349-1468,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Villarroel,Ukio,39 €/m²,2.440 €/mes,62 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08036-40898092237_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,62 m²,,1,1,4ª,N/A,,En buen estado,SA5112-FURORE,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Ronda del General Mitre,Ukio,36 €/m²,5.020 €/mes,137 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_la_bonanova08022-40841563990_100500/,Anuncio actualizado el 16/12/2024,"E, E","E, E",barcelona,137 m²,,3,2,8ª,N/A,,En buen estado,SA5112-SABATE,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Ático en Carrer de Martínez de la Rosa,Ukio,47 €/m²,3.120 €/mes,66 m²,https://www.pisos.com/alquilar/atico-la_vila_de_gracia08012-48348402550_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona,66 m²,,1,1,3ª,N/A,,En buen estado,SA5112-BATAM,1,,,,,,N/A,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,
Piso en Rambla de Catalunya,Ukio,43 €/m²,5.830 €/mes,134 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-40865655374_100500/,Anuncio actualizado el 16/12/2024,"E, E","E, E",barcelona,134 m²,,3,2,2ª,N/A,,En buen estado,SA5112-ANORA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Carrer del Perelló, 66",SmartMove,35 €/m²,2.500 €/mes,70 m²,https://www.pisos.com/alquilar/piso-sant_marti_el_poblenou08005-50927918478_513606/,Anuncio actualizado el 14/02/2025,"C, B","C, B",barcelona,70 m²,70 m²,2,2,3ª,N/A,,En buen estado,4513606-Sunny Horizons Poblenou,2,,Parquet,,,,Frío y calor,Gas natural,N/A,,,,,,,N/A,,N/A,N/A,,Comunitaria,Sureste,N/A,,N/A,,,,,,,N/A,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,61 €/m²,3.160 €/mes,51 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-40923792538_100500/,Anuncio actualizado el 14/01/2025,"E, E","E, E",barcelona,51 m²,46 m²,1,1,4ª,N/A,,En buen estado,SA5112-MONTORO,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Consell de Cent,Ukio,37 €/m²,2.010 €/mes,53 m²,https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08015-42502077158_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,53 m²,,1,1,3ª,N/A,,En buen estado,SA5112-EBRE,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Chalet en Canet de Mar,"HALLI, S.L.",6 €/m²,2.800 €/mes,440 m²,https://www.pisos.com/alquilar/chalet-canet_de_mar_centro_urbano-99261167418_520071/,Anuncio actualizado el 28/05/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,440 m²,360 m²,5,5,,,Entre 30 y 50 años,A reformar,4520071-000002,Más de 2,N/A,Parquet,N/A,Madera,,,Gas natural,N/A,N/A,N/A,Más de 2,,N/A,,,,,N/A,Comunitario,,,,,,,1.000 m²,,N/A,,,,,,N/A,,N/A,
Piso en Gran Via de les Corts Catalanes,Ukio,55 €/m²,2.740 €/mes,49 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08007-40854786251_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",barcelona,49 m²,,1,1,3ª,N/A,,En buen estado,SA5112-ALHAMILLA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Ático en Carrer de Balmes,Ukio,43 €/m²,5.650 €/mes,129 m²,https://www.pisos.com/alquilar/atico-antiga_esquerra_de_eixample08007-40844256759_100500/,Anuncio actualizado el 24/10/2024,"E, C","E, C",barcelona,129 m²,,2,2,7ª,N/A,,En buen estado,SA5112-FUJI,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Doctor Aiguader,WALTER HAUS,26 €/m²,1.700 €/mes,65 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-48404814253_101800/,Anuncio actualizado el 06/02/2025,"E, D","E, D",barcelona,65 m²,,1,1,1ª,,,,IF7349-4953,1,,,,,,,,N/A,,,,,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en El Putxet-El Farró,"HALLI, S.L.",13 €/m²,2.400 €/mes,177 m²,https://www.pisos.com/alquilar/piso-el_putxet_el_farro08023-45892863652_520071/,Anuncio actualizado el 26/07/2024,"E, E","E, E",barcelona,177 m²,153 m²,5,3,1ª,N/A,Entre 20 y 30 años,En buen estado,4520071-000008,N/A,,Parquet,N/A,Aluminio,,Frío y calor,Eléctrica,Totalmente equipada,Salón-comedor,"Lavadora, secadora, armarios de limpieza",1,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer de la Princesa,Ukio,31 €/m²,3.435 €/mes,109 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40925464367_100500/,Anuncio actualizado el 16/12/2024,"E, E","E, E",barcelona,109 m²,,2,2,,N/A,,En buen estado,SA5112-BELLO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,50 €/m²,3.470 €/mes,69 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40865385459_100500/,Anuncio actualizado el 16/12/2024,"A, A","A, A",barcelona,69 m²,,3,2,3ª,N/A,,En buen estado,SA5112-VACAR,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,46 €/m²,3.040 €/mes,66 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40916174124_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,66 m²,,2,2,4ª,,,En buen estado,SA5112-OLITE,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,N/A,,,,
Casa en Urb. Castellà D\'indies,PREMIUM HOUSES,13 €/m²,2.190 €/mes,165 m²,https://www.pisos.com/alquilar/casa-sant_cebria_de_vallalta_centro_urbano-48335099775_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",barcelona,165 m²,140 m²,3,3,,,Entre 20 y 30 años,,SA1393-PH103265/3699,1,,,,,,,N/A,,,,1,,,,,,,N/A,N/A,Propia,Sureste,,,N/A,N/A,,,N/A,,N/A,,,,,,,
Piso en Carrer de València,Ukio,39 €/m²,2.745 €/mes,70 m²,https://www.pisos.com/alquilar/piso-la_sagrada_familia08013-40909846968_100500/,Anuncio actualizado el 29/01/2025,"C, B","C, B",barcelona,70 m²,,2,1,1ª,N/A,,En buen estado,SA5112-TAGBU,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer Jonqueres,Ukio,53 €/m²,2.885 €/mes,54 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40917394846_100500/,Anuncio actualizado el 31/01/2025,"E, E","E, E",barcelona,54 m²,,2,2,4ª,N/A,,En buen estado,SA5112-AGROPOLI,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Carrer de Balmes, 375",SmartMove,43 €/m²,3.000 €/mes,69 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_la_bonanova08022-50923407655_513606/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,69 m²,69 m²,1,1,1ª,N/A,,En buen estado,4513606-Balmes Life,,,Parquet,,,,Frío y calor,Gas natural,N/A,N/A,,,,,,,,,N/A,,,Sureste,N/A,,N/A,,,,,,,N/A,,,,,,
Piso en Carrer de Muntaner,Ukio,50 €/m²,2.690 €/mes,53 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_la_bonanova08022-44217483321_100500/,Anuncio actualizado el 03/10/2024,"E, E","E, E",barcelona,53 m²,,2,1,5ª,N/A,,En buen estado,SA5112-PIRINEU,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Casanova,WALTER HAUS,35 €/m²,2.500 €/mes,70 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08036-51733848188_101800/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,70 m²,,2,1,,,Más de 50 años,,IF7349-5075,,,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,39 €/m²,2.280 €/mes,58 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40911334089_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,58 m²,,2,1,6ª,,,En buen estado,SA5112-ATALAYA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,N/A,,,,
Piso en Carrer de Mallorca,Ukio,57 €/m²,3.145 €/mes,55 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08037-40905717554_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,55 m²,,2,1,2ª,N/A,,En buen estado,SA5112-PONTONE,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Balmes,Ukio,36 €/m²,2.805 €/mes,76 m²,https://www.pisos.com/alquilar/piso-el_putxet_el_farro08022-45930147212_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,76 m²,,2,2,5ª,N/A,,En buen estado,SA5112-CHULAMAR,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Balmes,Ukio,33 €/m²,3.310 €/mes,98 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08008-40880164171_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",barcelona,98 m²,90 m²,2,2,1ª,N/A,,En buen estado,SA5112-ZONGO,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de la Princesa,Ukio,42 €/m²,3.230 €/mes,76 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40838833073_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona,76 m²,,2,2,3ª,N/A,,En buen estado,SA5112-FIORE,1,,,,,,N/A,,N/A,,,1,,,,N/A,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer del Penedès,Ukio,52 €/m²,2.600 €/mes,50 m²,https://www.pisos.com/alquilar/piso-la_vila_de_gracia08012-40843068299_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",barcelona,50 m²,,1,1,1ª,N/A,,En buen estado,SA5112-ASOA,1,,,,,,N/A,,,,,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer d'Arimón,Ukio,50 €/m²,2.590 €/mes,51 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_la_bonanova08022-40894950854_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,51 m²,,2,1,4ª,N/A,,En buen estado,SA5112-STABIA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Sepúlveda,Ukio,37 €/m²,2.495 €/mes,66 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-49251936703_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,66 m²,,2,1,4ª,N/A,,En buen estado,SA5112-CINAR,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer d'Aribau,Ukio,30 €/m²,2.700 €/mes,90 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08036-40886342338_100500/,Anuncio actualizado el 14/01/2025,"D, D","D, D",barcelona,90 m²,,1,1,4ª,N/A,,En buen estado,SA5112-KALO,1,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,32 €/m²,2.560 €/mes,79 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-40870181909_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",barcelona,79 m²,,3,1,4ª,N/A,,En buen estado,SA5112-TRAMONTO,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,48 €/m²,3.315 €/mes,69 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40838957603_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,69 m²,,2,2,2ª,N/A,,En buen estado,SA5112-ARMILLA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Morales,Ukio,50 €/m²,3.095 €/mes,61 m²,https://www.pisos.com/alquilar/piso-les_corts_barrio08029-40846666372_100500/,Anuncio actualizado el 22/01/2025,"E, E","E, E",barcelona,61 m²,,1,1,2ª,N/A,,En buen estado,SA5112-ORENETA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,N/A,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,48 €/m²,2.815 €/mes,58 m²,https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40909098839_100500/,Anuncio actualizado el 12/12/2024,"E, E","E, E",barcelona,58 m²,,2,1,3ª,,,En buen estado,SA5112-PINAR,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,N/A,,,,
Piso en Carrer del Rosselló,Ukio,47 €/m²,2.540 €/mes,53 m²,https://www.pisos.com/alquilar/piso-la_sagrada_familia08025-40909308227_100500/,Anuncio actualizado el 22/12/2024,"E, E","E, E",barcelona,53 m²,,2,1,2ª,N/A,,En buen estado,SA5112-ALEU,1,,,,,,N/A,,N/A,,,,,,,,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Carrer de la Mare de Déu del Remei, 46",SmartMove,24 €/m²,1.600 €/mes,65 m²,https://www.pisos.com/alquilar/piso-el_poble_sec08004-10027619117_513606/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,65 m²,65 m²,2,1,1ª,N/A,,En buen estado,4513606-Living in Soho Luxury,,,Parquet,,,,Frío y calor,Gas natural,N/A,N/A,,,,,,,,,,,,Sureste,N/A,,N/A,,,,,,,N/A,,N/A,,,,
Piso en Carrer d'Aragó,Ukio,29 €/m²,2.655 €/mes,90 m²,https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08029-40879750024_100500/,Anuncio actualizado el 13/02/2025,"D, D","D, D",barcelona,90 m²,,2,2,4ª,N/A,,En buen estado,SA5112-BAEZA,1,,,,,,,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Floridablanca,Ukio,30 €/m²,2.760 €/mes,92 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-40892471307_100500/,Anuncio actualizado el 27/01/2025,"E, E","E, E",barcelona,92 m²,,3,2,,N/A,,En buen estado,SA5112-PALINURO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Carrencà,Ukio,48 €/m²,2.035 €/mes,42 m²,https://www.pisos.com/alquilar/piso-les_tres_torres08017-40893411040_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,42 m²,,1,1,,N/A,,En buen estado,SA5112-CADI,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Bailèn,Ukio,33 €/m²,3.150 €/mes,95 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08009-40917667643_100500/,Anuncio actualizado el 03/08/2024,"E, C","E, C",barcelona,95 m²,,3,2,4ª,N/A,,En buen estado,SA5112-MITAKA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer Jonqueres,Ukio,41 €/m²,5.920 €/mes,144 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08010-40911620156_100500/,Anuncio actualizado el 16/12/2024,"E, E","E, E",barcelona,144 m²,,2,2,1ª,N/A,,En buen estado,SA5112-CLIENTO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer Gran de Gràcia,Ukio,22 €/m²,3.050 €/mes,135 m²,https://www.pisos.com/alquilar/piso-la_vila_de_gracia08012-40848020626_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",barcelona,135 m²,,3,2,4ª,N/A,,En buen estado,SA5112-ANEFIS,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Carrer del Doctor Trueta, 194",SmartMove,79 €/m²,1.738 €/mes,22 m²,https://www.pisos.com/alquilar/piso-sant_marti_el_poblenou08005-47536871627_513606/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,22 m²,22 m²,1,1,1ª,N/A,,En buen estado,4513606-The Student Factory: KITCHENETTE STUDIO,,,,,,,Frío y calor,Gas natural,N/A,,,,,,,N/A,,,,,,Sur,,,N/A,,,,,,,N/A,,,,,,
Piso en Carrer del Comte Borrell,Ukio,38 €/m²,3.095 €/mes,81 m²,https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08011-40861704637_100500/,Anuncio actualizado el 25/11/2024,"E, E","E, E",barcelona,81 m²,,2,2,5ª,N/A,,En buen estado,SA5112-ASCEA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Sant Gervasi-Galvany,GP CASA VILASSAR,31 €/m²,3.800 €/mes,121 m²,https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08021-41674007050_517277/,Anuncio actualizado el 28/01/2025,"D, D","D, D",barcelona,121 m²,110 m²,3,2,4ª,N/A,Más de 50 años,Reformado,517277-GP819,,N/A,Parquet,N/A,Aluminio,,Frío y calor,Central,Tipo office,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer dels Flassaders,Ukio,37 €/m²,2.345 €/mes,62 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40870902804_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,62 m²,,2,1,1ª,N/A,,En buen estado,SA5112-KASA,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Ático en Avinguda Diagonal,Ukio,30 €/m²,5.675 €/mes,187 m²,https://www.pisos.com/alquilar/atico-antiga_esquerra_de_eixample08036-40931168606_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona,187 m²,,2,2,6ª,N/A,,En buen estado,SA5112-TOSSA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Còrsega,WALTER HAUS,21 €/m²,1.600 €/mes,73 m²,https://www.pisos.com/alquilar/piso-la_sagrada_familia08025-50852076457_101800/,Anuncio actualizado el 20/02/2025,"F, G","F, G",barcelona,73 m²,,2,1,6ª,,,,IF7349-2480,1,,,,,,,Central,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer d'Ausiàs Marc,Ukio,30 €/m²,3.765 €/mes,123 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08010-40843510015_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,123 m²,,2,2,6ª,N/A,,En buen estado,SA5112-PRIEGO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Gran Via de les Corts Catalanes,Ukio,50 €/m²,3.475 €/mes,69 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40929386115_100500/,Anuncio actualizado el 20/01/2025,"E, E","E, E",barcelona,69 m²,,3,2,4ª,N/A,,En buen estado,SA5112-DABO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Fontanella,Ukio,37 €/m²,3.165 €/mes,85 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08010-48398122597_100500/,Anuncio actualizado el 14/02/2025,"D, A","D, A",barcelona,85 m²,,2,2,2ª,,,En buen estado,SA5112-DENALI,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,,
Piso en Carrer de Roger de Llúria,Ukio,31 €/m²,5.065 €/mes,160 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08037-40888033302_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,160 m²,,2,2,4ª,N/A,,En buen estado,SA5112-ZUHEROS,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer de Tamarit,Ukio,33 €/m²,2.545 €/mes,76 m²,https://www.pisos.com/alquilar/piso-eixample_sant_antoni08015-40870763258_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona,76 m²,,2,2,1ª,N/A,,En buen estado,SA5112-SAZOS,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer Jonqueres,Ukio,58 €/m²,3.160 €/mes,54 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40931704097_100500/,Anuncio actualizado el 16/12/2024,"E, E","E, E",barcelona,54 m²,,2,2,3ª,N/A,,En buen estado,SA5112-ACCIAROLI,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer de Mallorca,Ukio,33 €/m²,4.420 €/mes,132 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-40872508697_100500/,Anuncio actualizado el 22/01/2025,"E, E","E, E",barcelona,132 m²,,4,2,1ª,N/A,,En buen estado,SA5112-VICO,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
"Piso en Passatge del Rellotge, 10",SmartMove,20 €/m²,2.500 €/mes,125 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-50856082598_513606/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,125 m²,120 m²,2,2,3ª,N/A,,En buen estado,4513606-Charming Life,,,Parquet,,,,Frío y calor,Gas natural,N/A,,,,,,,N/A,,N/A,,,,Suroeste,N/A,,N/A,,,,,,,N/A,,,,,,
Piso en Carrer de Roger de Llúria,Ukio,31 €/m²,2.945 €/mes,95 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08037-40906977201_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,95 m²,,3,1,2ª,N/A,,En buen estado,SA5112-COSTA,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Avinguda Diagonal,WALTER HAUS,22 €/m²,3.300 €/mes,150 m²,https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08013-51673246137_101800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,150 m²,,3,2,2ª,,,,IF7349-5136,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
