nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie solar,Baños,Antigüedad,Referencia,Superficie útil,Habitaciones,Planta,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Comedor,Ascensor,Terraza,Agua,Puerta blindada,Jardín,Cocina equipada,Lavadero,Orientación,Exterior,Conservación,Gastos de comunidad,Carpintería interior,Carpintería exterior,Portero automático,Adaptado a personas con movilidad reducida,Balcón,Soleado,Se aceptan mascotas,Amueblado,Tipo de casa,Garaje,Sistema de seguridad,Piscina,Chimenea,Vidrios dobles,Gas,Trastero,Teléfono,Interior,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Carretera Santa Coloma,pisos 22,2.328 €/m²,177.000 €,76 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-43364088169_518459/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),76 m²,,1,Entre 30 y 50 años,4518459-2024/22,70 m²,3,7ª,,Gres,Frío y calor,Gas natural,N/A,N/A,,,N/A,,N/A,,,N/A,En buen estado,Entre 20 y 40 €,N/A,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,,N/A,,,,,,
Ático en La Morera,ALFA BADALONA CENTRO MAR,3.225 €/m²,461.315 €,143 m²,https://www.pisos.com/comprar/atico-bonavista_bufala08915-39236809236_100500/,Anuncio actualizado el 10/02/2025,"C, B","C, B",badalona (BCN),143 m²,,2,Menos de 5 años,SA596-ResidencialM/1826,73 m²,3,3ª,,Parquet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Norte,,,,,,,,N/A,,,,,,,,,,,,,,,,
"Piso en Carrer del Progrés, 190",LA LLAVE DE ORO,4.045 €/m²,445.000 €,110 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-5195298849_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",badalona (BCN),110 m²,,2,,4993346-0,,3,2ª,,,,,,N/A,,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Guifré, 105",Inmo Maragall 10,3.087 €/m²,318.000 €,103 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-49172667469_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",badalona (BCN),103 m²,,1,Más de 50 años,SA5088-106578506,79 m²,3,4ª,1,,,,,N/A,,,,,,,Sur,,En buen estado,Entre 40 y 60 €,,,,,N/A,,,,,1,,,,,,,,N/A,,,
Ático en Centro,PARELLADA IMMOBILIÀRIA,5.170 €/m²,760.000 €,147 m²,https://www.pisos.com/comprar/atico-badalona_centre08911-49230950772_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),147 m²,,2,Menos de 5 años,SA5410-2911/11637,118 m²,4,3ª,1,Tarima flotante,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Eduard Marquina,CAMEVA Serveis Immobiliaris,2.562 €/m²,205.000 €,80 m²,https://www.pisos.com/comprar/piso-casagemes_canyado08911-45884197090_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),80 m²,,1,Más de 50 años,SA4360-CAM2158/10108,74 m²,3,4ª,,Parquet,N/A,Gas natural,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Pep Ventura,ALFA BADALONA CENTRO MAR,3.712 €/m²,375.000 €,101 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-50923094215_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),101 m²,,2,Entre 20 y 30 años,SA596-ALFA1923/1826,90 m²,3,1ª,,Parquet,,Gas natural,N/A,N/A,N/A,N/A,N/A,,,,,,,Entre 40 y 60 €,,,,,N/A,,,,,,,,,,,N/A,,,,,
Piso en Port,SINGULAR PROPERTIES,4.506 €/m²,649.000 €,144 m²,https://www.pisos.com/comprar/piso-badalona_port08918-50856444654_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),144 m²,,2,Entre 10 y 20 años,SA2030-SP119MW/2237,125 m²,4,6ª,,,N/A,,,N/A,N/A,,,N/A,,,Sureste,,,Más de 100 €,,,,,N/A,,,,,,,Comunitaria,,,,N/A,,,,,
Casa en Centro,PREMIUM HOUSES,2.500 €/m²,2.000.000 €,800 m²,https://www.pisos.com/comprar/casa-canyet_mas_ram08916-18419175848_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),800 m²,25.000 m²,7,Más de 50 años,SA1393-PH101698/3699,300 m²,6,,1,,N/A,Gas natural,,,,N/A,,N/A,,,Este,,,,,,,,,,,N/A,,,,Propia,N/A,,,,,,,,
Piso en Carrer d'Enric Borràs,PARELLADA IMMOBILIÀRIA,5.546 €/m²,538.000 €,97 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-45835427295_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),97 m²,,3,Menos de 5 años,SA5410-2270/11637,74 m²,3,Bajo,1,,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa adosada en Badalona,CLAVEM REAL ESTATE,3.703 €/m²,699.900 €,189 m²,https://www.pisos.com/comprar/casa_adosada-badalona_centre08911-50846096754_100500/,Anuncio actualizado el 17/02/2025,"D, D","D, D",badalona (BCN),189 m²,105 m²,3,Entre 30 y 50 años,SA4417-1238821,150 m²,3,,1,,Frío,Central,,,N/A,,,Privado,Cocina amueblada,,,,En buen estado,,,,,,,,,,Adosada,1,,,,,,,,,,,
Piso en Carrer de Ponent,PARELLADA IMMOBILIÀRIA,5.043 €/m²,580.000 €,115 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-45090447384_100500/,Anuncio actualizado el 12/06/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),115 m²,,2,Entre 5 y 10 años,SA5410-2593/11637,95 m²,3,2ª,1,Parquet,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,N/A,,,,,1,,,,,,N/A,,,,,
Piso en Avinguda de Martí Pujol,PLUS HABITAT,2.116 €/m²,290.000 €,137 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-44202785698_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),137 m²,,2,Entre 10 y 20 años,SA2641-PH-261 Avda Marti Pujol,,4,,,,,,,N/A,N/A,,,,,,Oeste,N/A,En buen estado,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Atlàntida,ZONA FINCAS,2.329 €/m²,191.000 €,82 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-50007948077_514358/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),82 m²,,1,Entre 30 y 50 años,514358-ZF24/010,65 m²,3,2ª,,Gres,,Gas natural,18m² luminoso y muy acogedor,N/A,,,N/A,,"Independiente, amplia y funcional",,,N/A,Reformado,Entre 40 y 60 €,Roble,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Manresa,VIURE A GRANOLLERS,5.700 €/m²,399.000 €,70 m²,https://www.pisos.com/comprar/piso-casagemes_canyado08911-51692026363_510334/,Anuncio actualizado el 18/02/2025,"B, A","B, A",badalona (BCN),70 m²,,1,Menos de 5 años,510334-V2102,65 m²,2,2ª,,Parquet,Frío y calor,,N/A,N/A,,,,,,,,N/A,A estrenar,,,Aluminio,N/A,N/A,,,,,,1,N/A,,,N/A,,N/A,,,,,
Piso en La Salut - Lloreda,ALFA BADALONA CENTRO MAR,2.070 €/m²,265.000 €,128 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-49190548659_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),128 m²,,2,Entre 10 y 20 años,SA596-ALFA1917/1826,85 m²,3,Bajo,1,Gres,,Gas natural,N/A,N/A,N/A,,N/A,,,,,,,Entre 40 y 60 €,,,,,,,,,,,,,,,,,,,,,
Piso en Barcelonés,Jose PANDO LANCHARRO,1.590 €/m²,350.000 €,220 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-49192444635_108700/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),220 m²,,1,Más de 50 años,UVC828-30115,220 m²,3,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Rambla de Sant Joan,PREMIER ESPAÑA,4.954 €/m²,327.000 €,66 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-42561151872_992912/,Anuncio actualizado el 04/02/2025,"A, A","A, A",badalona (BCN),66 m²,,1,Menos de 5 años,4992912-PISOS BAD5,52 m²,2,2ª,,,,,,,,,,Comunitario,,,,,A estrenar,,,,,,,,,,,1,,Comunitaria,,,,,,,,,
Ático en Centre,KSA - Badalona,5.130 €/m²,590.000 €,115 m²,https://www.pisos.com/comprar/atico-badalona_centre08912-51704642046_231200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),115 m²,,2,Entre 20 y 30 años,2312-538,100 m²,4,4ª,,Gres,Frío,Gas natural,N/A,N/A,N/A,,N/A,,N/A,N/A,Sur,N/A,En buen estado,,,Aluminio,N/A,N/A,N/A,N/A,,,,1,,,,N/A,N/A,N/A,,,,,
Piso en Passeig de la Salut,KSA - Badalona,2.106 €/m²,335.000 €,159 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells-37512144865_231200/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),159 m²,,1,,2312-483,105 m²,4,1ª,Más de 2,Parquet,Frío y calor,Gas natural,N/A,N/A,N/A,,,,N/A,N/A,Este,N/A,En buen estado,,,Aluminio,N/A,,,,,,,,,,,N/A,N/A,,,,,,
Piso en Front Maritim,NOVA URBE SERVEIS IMMOBILIARIS,5.518 €/m²,585.000 €,106 m²,https://www.pisos.com/comprar/piso-badalona_port08912-43357658064_100500/,Anuncio actualizado el 17/01/2025,"E, E","E, E",badalona (BCN),106 m²,,2,Entre 20 y 30 años,SA4529-DVP003/3568,72 m²,2,8ª,,Parquet,N/A,Central,,N/A,N/A,,,,,,Sur,,,,,,,,,,,,,,,Comunitaria,,,,,,,,,
Piso en Gorg-Progrés-Pep Ventura,KSA - Badalona,3.414 €/m²,280.000 €,82 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08918-51747214180_231200/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),82 m²,,1,Más de 50 años,2312-537,75 m²,3,4ª,,Parquet,Frío y calor,Gas natural,N/A,N/A,,,N/A,,N/A,,Norte,N/A,Reformado,,,Aluminio,N/A,,N/A,,,N/A,,,,,,N/A,N/A,,,N/A,,,
Piso en Centro,PARELLADA IMMOBILIÀRIA,5.338 €/m²,544.500 €,102 m²,https://www.pisos.com/comprar/piso-badalona_centre08911-49193983725_100500/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),102 m²,,2,Menos de 5 años,SA5410-2908/11637,92 m²,3,2ª,1,Tarima flotante,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa adosada en Centre,PARELLADA IMMOBILIÀRIA,5.636 €/m²,620.000 €,110 m²,https://www.pisos.com/comprar/casa_adosada-badalona_centre08911-49252957273_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),110 m²,,3,,SA5410-3010/11637,90 m²,3,,,Parquet,,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,Adosada,,,Comunitaria,,,,,,,,,
Piso en Avinguda de Lloreda,INMOKASAS,2.031 €/m²,130.000 €,64 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08917-49198412123_520652/,Anuncio actualizado el 12/02/2025,"F, E","F, E",badalona (BCN),64 m²,,1,Más de 50 años,4520652-202427,60 m²,2,Bajo,1,Parquet,,Eléctrica,,,,,N/A,,Cocina americana,,Este,N/A,En buen estado,,,Aluminio,,N/A,,N/A,,,,,Rejas,,,,,,,,,,
Piso en Front Maritim,ALFA BADALONA CENTRO MAR,6.309 €/m²,530.000 €,84 m²,https://www.pisos.com/comprar/piso-badalona_port08918-49242160691_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),84 m²,,2,Entre 10 y 20 años,SA596-ALFA1918/1826,65 m²,3,1ª,,Parquet,N/A,Eléctrica,N/A,N/A,N/A,N/A,N/A,N/A,,,Sureste,,,Entre 80 y 100 €,,,,,,,,,,,,Comunitaria,,,,,,,,,
Piso en Port,Urbane International Real estate,7.505 €/m²,698.000 €,93 m²,https://www.pisos.com/comprar/piso-badalona_port08918-50087947994_109300/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),93 m²,,2,,EP974-3733,77 m²,3,1ª,,,,,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,,,,,,,Comunitaria,,,,,,,,,
Piso en Centro,PARELLADA IMMOBILIÀRIA,4.855 €/m²,539.000 €,111 m²,https://www.pisos.com/comprar/piso-badalona_centre08911-49254487846_100500/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),111 m²,,2,Menos de 5 años,SA5410-2905/11637,92 m²,2,1ª,1,Tarima flotante,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Carrer de Calderón de la Barca,pisos 22,1.481 €/m²,257.800 €,174 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-50008983216_518459/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),174 m²,,3,Entre 20 y 30 años,4518459-2024/66,160 m²,4,3ª,1,Gres,Frío y calor,Gas natural,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,Reformado,Entre 40 y 60 €,Aluminio,Roble,N/A,,N/A,N/A,N/A,,,,,,,,N/A,N/A,,,,,
Casa en Pep Ventura,PARELLADA IMMOBILIÀRIA,2.227 €/m²,490.000 €,220 m²,https://www.pisos.com/comprar/casa-gorg_progres_pep_ventura08912-48374325539_100500/,Anuncio actualizado el 16/10/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),220 m²,210 m²,12,Más de 50 años,SA5410-2707/11637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Quevedo,pisos 22,1.893 €/m²,250.000 €,132 m²,https://www.pisos.com/comprar/duplex-la_salut_lloreda_sistrells08914-49209935796_518459/,Anuncio actualizado el 18/02/2025,"G, G","G, G",badalona (BCN),132 m²,,1,Entre 30 y 50 años,4518459-2024/63,130 m²,4,1ª,,Gres,,,Con salida al balcón,N/A,,,N/A,,Offce,,,N/A,En buen estado,Entre 40 y 60 €,N/A,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,,N/A,,,,,,
Piso en Carrer de Pablo Iglesias,pisos 22,1.830 €/m²,119.000 €,65 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-45051546599_518459/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),65 m²,,1,Más de 50 años,4518459-2024/30,62 m²,2,2ª,,Parquet,Frío y calor,,N/A,,,,N/A,,N/A,,Este,N/A,Reformado,Entre 10 y 20 €,N/A,Aluminio,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en Centre,KSA - Badalona,4.980 €/m²,249.000 €,50 m²,https://www.pisos.com/comprar/piso-badalona_centre08912-49262233025_231200/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),50 m²,,1,Menos de 5 años,2312-DDM1,50 m²,1,Bajo,,Parquet,Frío y calor,Eléctrica,N/A,N/A,,,N/A,,N/A,N/A,Oeste,N/A,A estrenar,,,Madera,,N/A,,N/A,,,,,,,,N/A,,,,N/A,,,
"Piso en Passeig d'Olof Palme, 16",AEDAS HOMES,4.211 €/m²,518.000 €,123 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-4949174102_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",badalona (BCN),123 m²,,2,,-a0P070000011bCWEAY,,4,5ª,,,,,,N/A,N/A,,,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,
Piso en calle D'aribau,Mercat Capital real estate,2.168 €/m²,180.000 €,83 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-49186829959_101300/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),83 m²,,1,Más de 50 años,API148-PBADD'A84,75 m²,2,,,,,N/A,,N/A,,,,,,,Oeste,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Virgen Assumpta,INMOKASAS,2.329 €/m²,184.000 €,79 m²,https://www.pisos.com/comprar/piso-llefia_artigues08914-51765793597_520652/,Anuncio actualizado el 13/02/2025,"E, E","E, E",badalona (BCN),79 m²,,1,Más de 50 años,4520652-20256,70 m²,3,7ª,,Gres,Frío y calor,Eléctrica,,N/A,,,N/A,,,,,N/A,En buen estado,,,Aluminio,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,
Piso en Front Maritim,ALFA BADALONA CENTRO MAR,5.840 €/m²,695.000 €,119 m²,https://www.pisos.com/comprar/piso-gorg_progres_raval_can_claris08918-95842861078_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),119 m²,,2,Entre 20 y 30 años,SA596-ALFA1656/1826,92 m²,3,1ª,1,Parquet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,Comunitaria,,,,N/A,,,,,
Piso en La Salut-Lloreda-Sistrells,KSA - Badalona,3.548 €/m²,326.500 €,92 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08917-50928901600_231200/,Anuncio actualizado el 22/01/2025,"E, E","E, E",badalona (BCN),92 m²,,2,Entre 30 y 50 años,2312-535,90 m²,3,2ª,,Parquet,Frío y calor,Gas natural,N/A,N/A,N/A,,,,N/A,N/A,Este,N/A,En buen estado,,,Aluminio,N/A,,N/A,N/A,,N/A,,1,,,,N/A,N/A,,,,,,
Piso en Front Maritim,ALFA BADALONA CENTRO MAR,3.928 €/m²,440.000 €,112 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-46736995537_100500/,Anuncio actualizado el 10/02/2025,"E, E","E, E",badalona (BCN),112 m²,,2,Entre 10 y 20 años,SA596-ALFA1906/1826,87 m²,3,1ª,1,Parquet,N/A,Gas natural,,N/A,,N/A,N/A,,,,,,,Entre 80 y 100 €,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Gorg-Progrés-Pep Ventura,CINTO FURQUET SERVEIS INMOBILIARIS,3.173 €/m²,165.000 €,52 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08912-47560403006_517255/,Anuncio actualizado el 12/02/2025,"G, G","G, G",badalona (BCN),52 m²,,1,Más de 50 años,517255-BDN170924,50 m²,2,1ª,,Parquet,Frío y calor,,N/A,,,,N/A,,Abierta,De salida de cocina,,,En buen estado,,Sapelly,Aluminio,,,,,,,,,,,,,,,,N/A,,,
Piso en Carrer de Víctor Balaguer,pisos 22,3.125 €/m²,187.500 €,60 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-48340693542_518459/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),60 m²,,1,Entre 30 y 50 años,4518459-2024/50,55 m²,3,Entresuelo,,Gres,,,N/A,N/A,N/A,,N/A,,N/A,,,N/A,Reformado,,N/A,Aluminio,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en Llefià-Artigues,KSA - Badalona,3.714 €/m²,260.000 €,70 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-51762231050_231200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),70 m²,,2,,2312-539,61 m²,3,1ª,,Parquet,Frío y calor,Gas natural,N/A,,,,N/A,,N/A,,Oeste,N/A,Reformado,,,Aluminio,N/A,,,N/A,,,,,,,,N/A,N/A,N/A,,,,,
Ático en Centre,KSA - Badalona,3.393 €/m²,750.000 €,221 m²,https://www.pisos.com/comprar/atico-badalona_centre08911-48347550476_231200/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),221 m²,,3,Entre 20 y 30 años,2312-529,203 m²,4,4ª,,Parquet,Frío y calor,Gas natural,N/A,N/A,N/A,,,Comunitario,N/A,N/A,Este,N/A,Reformado,,,Aluminio,,,N/A,N/A,,,,2,,Comunitaria,,N/A,,,,,,,
Piso en Carrer del Doctor Robert,FINCADOR,3.437 €/m²,220.000 €,64 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-50856039127_995255/,Anuncio actualizado el 20/02/2025,"F, E","F, E",badalona (BCN),64 m²,,1,Más de 50 años,4995255-V-1159,52 m²,3,3ª,1,Gres,,,N/A,N/A,N/A,,N/A,,N/A,,,N/A,A reformar,Entre 20 y 40 €,N/A,PVC,,,N/A,N/A,,,,,N/A,,,N/A,N/A,,,,,,
Casa en Pep Ventura,ALFA BADALONA CENTRO MAR,2.679 €/m²,560.000 €,209 m²,https://www.pisos.com/comprar/casa-gorg_progres_pep_ventura08912-48358633286_100500/,Anuncio actualizado el 10/02/2025,"D, D","D, D",badalona (BCN),209 m²,,3,Más de 50 años,SA596-ALFA1914/1826,162 m²,4,,1,Gres,,Gas natural,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Llefià-Artigues,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.777 €/m²,175.000 €,63 m²,https://www.pisos.com/comprar/piso-llefia_artigues08913-50880318994_101800/,Anuncio actualizado el 27/01/2025,"C, C","C, C",badalona (BCN),63 m²,,1,Más de 50 años,IF77106-LCB34451-1,,3,6ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Carrer del Planeta Mart,pisos 22,1.984 €/m²,129.000 €,65 m²,https://www.pisos.com/comprar/apartamento-llefia_artigues08914-42549870458_518459/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),65 m²,,1,Más de 50 años,4518459-2024/13,62 m²,2,Entresuelo,,Gres,,,N/A,N/A,,,N/A,,N/A,,,N/A,En buen estado,Entre 20 y 40 €,N/A,Aluminio,N/A,,N/A,N/A,N/A,,,,,,,,N/A,,,,,,
Casa en Centre,KSA - Badalona,3.774 €/m²,1.140.000 €,302 m²,https://www.pisos.com/comprar/casa-badalona_centre08911-49252724044_231200/,Anuncio actualizado el 12/12/2024,"C, B","C, B",badalona (BCN),302 m²,106 m²,4,Menos de 5 años,2312-532,242 m²,4,,Más de 2,Parquet,Frío y calor,Aerotermia,N/A,,N/A,,N/A,,N/A,N/A,Oeste,,Reformado,,,Aluminio,,,,,,,,1,,,N/A,N/A,,,,,N/A,N/A,
Piso en Riera de Matamoros,FINQUES FUTURA,3.476 €/m²,365.000 €,105 m²,https://www.pisos.com/comprar/piso-casagemes_canyado08911-41721657307_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),105 m²,,2,,EP673-5316,95 m²,3,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Port,Urbane International Real estate,7.633 €/m²,1.000.000 €,131 m²,https://www.pisos.com/comprar/atico-badalona_port08918-50002161937_109300/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),131 m²,,2,,EP974-3734,,3,5ª,,,,,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,,,,,,,Comunitaria,,,,,,,,,
Piso en Bonavista-Bufalà,CINTO FURQUET SERVEIS INMOBILIARIS,3.093 €/m²,365.000 €,118 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-50032921195_517255/,Anuncio actualizado el 12/02/2025,"D, D","D, D",badalona (BCN),118 m²,,2,Entre 10 y 20 años,517255-BDN111224,110 m²,4,2ª,,Mármol,Frío y calor,Gas natural,Con salida a balcón,N/A,,,N/A,,Office,,,N/A,En buen estado,Entre 60 y 80 €,Roble,Aluminio,N/A,,N/A,N/A,,,,1,,,,N/A,N/A,N/A,N/A,,,,
Piso en Carrer del Doctor Robert,DIAGONAL CASA,3.437 €/m²,220.000 €,64 m²,https://www.pisos.com/comprar/piso-bonavista_bufala08915-51688879796_109300/,Anuncio actualizado el 20/02/2025,"E, F","E, F",badalona (BCN),64 m²,,1,Más de 50 años,EP786-DIA4044460,52 m²,3,3ª,,,,,,N/A,,,,,N/A,,,,,31,,,,,,,,,,,,,,,,,,,,,
Piso en Montigalà-Sant Crist,Lloreda Bdn Sl,2.393 €/m²,146.000 €,61 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-50084309062_100200/,Anuncio actualizado el 18/02/2025,"E, E","E, E",badalona (BCN),61 m²,,1,Más de 50 años,TC843-603312,,3,5ª,,,,,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,KSA - Badalona,3.506 €/m²,1.350.000 €,385 m²,https://www.pisos.com/comprar/casa-badalona_centre-29249080334_231200/,Anuncio actualizado el 12/12/2024,"D, C","D, C",badalona (BCN),385 m²,,3,,2312-432,350 m²,5,,,Mármol,Frío,Gas natural,N/A,,N/A,,N/A,Privado,N/A,N/A,Este,,En buen estado,,,Aluminio,,,,,,,,1,,,N/A,N/A,N/A,,,,,,
Apartamento en Carrer de Baldomer Solà,SERVE,2.990 €/m²,323.000 €,108 m²,https://www.pisos.com/comprar/apartamento-gorg_progres_pep_ventura-33336387219_510392/,Anuncio actualizado el 04/02/2025,"C, C","C, C",badalona (BCN),108 m²,,2,Menos de 5 años,510392-BDLN,93 m²,3,Bajo,,Parquet,Frío y calor,Eléctrica,N/A,N/A,,,N/A,,N/A,N/A,Sureste,N/A,A estrenar,,N/A,Aluminio,N/A,N/A,,,N/A,,,,N/A,,,N/A,,N/A,,,,,
Ático en Gorg-Progrés-Pep Ventura,KSA - Badalona,3.876 €/m²,345.000 €,89 m²,https://www.pisos.com/comprar/atico-gorg_progres_pep_ventura08912-50901805804_231200/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),89 m²,,1,,2312-IP23,72 m²,3,2ª,,Parquet,Frío y calor,Central,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,A estrenar,,,Aluminio,,,N/A,N/A,,,,,,,,N/A,,,,,,,
Casa en Passatge de Maignon,ENTRE SUELOS INMOBILIARIA,3.303 €/m²,750.000 €,227 m²,https://www.pisos.com/comprar/casa-badalona_centre08911-49209251430_998007/,Anuncio actualizado el 11/12/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),227 m²,,3,Más de 50 años,4998007-1113 BADALONA,216 m²,4,,,Parquet,,,Dos ambientes,,,,,,Office,N/A,Este,,En buen estado,,,Aluminio,,,,,,,,,,,,,,,,,,,
