nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
Piso en Marianao,Corp Promotores,4.333 €/m²,390.000 €,90 m²,https://www.pisos.com/comprar/piso-marianao-5164245194_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,2,,A estrenar,4994285-21697746,,,,,,,,2ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Josep Anselm Clavé, 114",Corp Promotores,6.683 €/m²,655.000 €,98 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5189243308_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),98 m²,3,2,,A estrenar,4994285-21762339,,,,,,,,7ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Plaça Catalunya, 25",ESTRENUS,4.068 €/m²,207.500 €,51 m²,https://www.pisos.com/comprar/piso-vinyets_moli_vell-5159192621_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),51 m²,1,1,,A estrenar,4529415-21743345,,,N/A,N/A,,,,3ª,,Tarima flotante,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en  Pr Prolongación de La Rambla del Carmen,Neinor Homes,5.780 €/m²,422.000 €,73 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-45920173297_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),73 m²,3,2,,A estrenar,-2363,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
"Dúplex en Carrer d'En Domènec, 32",ESTRENUS,5.365 €/m²,440.000 €,82 m²,https://www.pisos.com/comprar/duplex-sant_joan_despi_centro_urbano08970-5094142461_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),82 m²,2,2,,A estrenar,4529415-21744524,,,,N/A,,,,2ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Joaquim Rubió i Ors,ESTRENUS,4.473 €/m²,425.000 €,95 m²,https://www.pisos.com/comprar/duplex-cornella_de_llobregat_centre-5091129028_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),95 m²,3,1,,A estrenar,4529415-21744274,,,,,,,,3ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Abrera,Corp Promotores,3.468 €/m²,326.000 €,94 m²,https://www.pisos.com/comprar/piso-abrera_centro_urbano-5176122201_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),94 m²,3,2,,A estrenar,4994285-21697550,,,,N/A,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en calle Diego Priu,  47",ESTRENUS,4.240 €/m²,318.000 €,75 m²,https://www.pisos.com/comprar/duplex-vinyets_moli_vell-5145114195_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),75 m²,3,2,,A estrenar,4529415-21744382,,,,N/A,,,,2ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Abrera,Corp Promotores,3.615 €/m²,188.000 €,52 m²,https://www.pisos.com/comprar/piso-abrera_centro_urbano-5095103499_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),52 m²,1,1,,A estrenar,4994285-21697547,,,,,,,,3ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passatge de Josep Fiter, 40",ESTRENUS,2.804 €/m²,345.000 €,123 m²,https://www.pisos.com/comprar/piso-el_pedro-5160100038_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),123 m²,3,2,,A estrenar,4529415-21747405,,,,N/A,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Rambla Rafael Casanova,ESTRENUS,2.957 €/m²,420.000 €,142 m²,https://www.pisos.com/comprar/duplex-sant_boi_de_llobregat_centre-5102097354_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),142 m²,4,2,,A estrenar,4529415-21744559,,,N/A,N/A,,,,1ª,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passatge de Santa Eulàlia, 14",ESTRENUS,4.782 €/m²,440.000 €,92 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-5258095702_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),92 m²,3,2,,A estrenar,4529415-21796162,,,,N/A,,,,1ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Marianao,Corp Promotores,4.195 €/m²,344.000 €,82 m²,https://www.pisos.com/comprar/piso-marianao-5243077469_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),82 m²,3,2,,A estrenar,4994285-0,,,,,,,,3ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en calle Diego Priu,  47",ESTRENUS,3.975 €/m²,318.000 €,80 m²,https://www.pisos.com/comprar/duplex-vinyets_moli_vell-5118056354_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),80 m²,3,2,,A estrenar,4529415-21744384,,,,N/A,,,,2ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Abrera,Corp Promotores,3.607 €/m²,184.000 €,51 m²,https://www.pisos.com/comprar/piso-abrera_centro_urbano-5092054894_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),51 m²,1,1,,A estrenar,4994285-21697541,,,,,,,,1ª,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en  Pr Prolongación de La Rambla del Carmen,Neinor Homes,6.072 €/m²,419.000 €,69 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-51692024323_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),69 m²,2,2,,A estrenar,-2363,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Piso en calle Avgda Josep Puig I Cadafalch, nº 18",URBEFINQUES ROSANES,3.244 €/m²,292.000 €,90 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50857934742_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,2,Menos de 5 años,,SA376-C44/3191,N/A,N/A,,N/A,,,85 m²,4ª,,Parquet,,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,
Piso en calle Josep Puig I Cadafalch,URBEFINQUES ROSANES,3.315 €/m²,278.500 €,84 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-32500552394_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),84 m²,3,2,,,SA376-AB1/3191,N/A,N/A,,N/A,N/A,,74 m²,Bajo,,Parquet,N/A,N/A,N/A,,Este,,,,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,,
Piso en Esplugues de Llobregat,DON PISO ESPLUGUES DE LLOBREGAT,3.464 €/m²,197.500 €,57 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano-39171024509_519066/,Anuncio actualizado el 12/02/2025,"E, E","E, E",baix_llobregat (BCN),57 m²,3,1,Entre 30 y 50 años,En buen estado,4519066-278766,Frío y calor,Eléctrica,,,,,52 m²,1ª,Entre 10 y 20 €,Gres,,,,,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig de la Marina,FINCAS BELLAMAR,5.000 €/m²,270.000 €,54 m²,https://www.pisos.com/comprar/piso-castelldefels_la_pineda-51672002072_100500/,Anuncio actualizado el 17/02/2025,"G, G","G, G",baix_llobregat (BCN),54 m²,2,1,Más de 50 años,En buen estado,SA2911-VC202509,Frío,,1,N/A,,,,1ª,,,,,,,,N/A,,,,,,Cocina amueblada,,,,,,,,,,,,,,,,,,,
Piso en Les Bòbiles-Avinguda Diagonal-Les Colomeres,Forcadell Gavà,2.819 €/m²,219.900 €,78 m²,https://www.pisos.com/comprar/piso-les_bobiles_avinguda_diagonal_les_colomeres-50889585877_101800/,Anuncio actualizado el 19/02/2025,"F, F","F, F",baix_llobregat (BCN),78 m²,3,1,,,IF76847-GAV_3176,,Central,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Esplugues de Llobregat,DON PISO ESPLUGUES DE LLOBREGAT,4.093 €/m²,458.500 €,112 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano-38378686082_519066/,Anuncio actualizado el 12/02/2025,"E, E","E, E",baix_llobregat (BCN),112 m²,4,2,Entre 10 y 20 años,En buen estado,4519066-276724,Frío y calor,Eléctrica,1,N/A,N/A,,93 m²,Bajo,Entre 80 y 100 €,Parquet,,,,,Suroeste,,,,,Aluminio,,Salida terraza,Salida terraza,,,,N/A,,,1,,Para maquinas en el pasillo,,,,,,,,,
Piso en L'Eixample Centre-Barri Antic,Forcadell Gavà,3.366 €/m²,289.500 €,86 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-45095632880_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),86 m²,4,1,,,IF76847-GAV_2634,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Canonge Doctor Auguet,INMOMAR,2.877 €/m²,259.000 €,90 m²,https://www.pisos.com/comprar/piso-el_mas_rates_la_montserratina_el_ginestar-51689184789_153800/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),90 m²,3,2,Entre 20 y 30 años,En buen estado,1538-API-OP250104,Frío y calor,,,N/A,,,75 m²,2ª,,Terrazo,80m²,,N/A,,,,,,,Aluminio,,,,,,N/A,N/A,,,,,,,,,,,,,,
Piso en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,10.515 €/m²,2.176.755 €,207 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-4993926768_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),207 m²,4,3,,A estrenar,IF76306-D-0009PA,Frío y calor,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Esplugues de Llobregat,DON PISO ESPLUGUES DE LLOBREGAT,3.601 €/m²,425.000 €,118 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-45058273206_519066/,Anuncio actualizado el 12/02/2025,"E, E","E, E",baix_llobregat (BCN),118 m²,4,2,Más de 50 años,En buen estado,4519066-284686,Frío,Gas natural,,,,,93 m²,Bajo,Entre 40 y 60 €,Terrazo,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Avgda Josep Puig I Cadafalch, nº 18",URBEFINQUES ROSANES,3.088 €/m²,278.000 €,90 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-45018911452_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,2,Menos de 5 años,,SA376-C24/3191,N/A,N/A,,N/A,,,85 m²,2ª,,Parquet,,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,
"Piso en calle Avgda Josep Puig I Cadafalch, nº 18",URBEFINQUES ROSANES,2.720 €/m²,234.000 €,86 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-47516729658_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),86 m²,2,1,Menos de 5 años,,SA376-C42/3191,N/A,N/A,,N/A,,,72 m²,4ª,,Parquet,,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer Major,FINQUES CAPEX,1.896 €/m²,256.000 €,135 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_centre-48349614761_528392/,Anuncio actualizado el 15/11/2024,"E, E","E, E",baix_llobregat (BCN),135 m²,2,1,,Reformado,4528392-000015,,,,N/A,Privado,,101 m²,Principal,,Parquet,,N/A,,,Sur,N/A,,,N/A,PVC,,N/A,N/A,,,N/A,,,,,,N/A,,,,,,,,,
Ático en Carrer del 8 de març,RUSTIC CORNER,4.953 €/m²,535.000 €,108 m²,https://www.pisos.com/comprar/atico-esplugues_de_llobregat_centro_urbano08950-50098976438_148700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),108 m²,3,2,Entre 5 y 10 años,En buen estado,1487-003068,Frío y calor,Aerotermia,1,N/A,Comunitario,Comunitaria,,2ª,Más de 100 €,Parquet,N/A,N/A,N/A,,,N/A,,,N/A,Aluminio,,N/A,N/A,N/A,,N/A,,,,2,,,,N/A,,,Otra compañía,,,,
"Ático en Carrer dels Reis Catòlics, 6",Housequality,4.978 €/m²,229.000 €,46 m²,https://www.pisos.com/comprar/atico-sant_joan_despi_centro_urbano08970-47538548328_511311/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),46 m²,2,1,Más de 50 años,Reformado,511311-007992,Frío y calor,,,N/A,,,41 m²,3ª,Entre 10 y 20 €,Parquet,,N/A,,,Noreste,N/A,N/A,,,Aluminio,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,
Chalet en Abrera,habitat Catalunya,897 €/m²,219.000 €,244 m²,https://www.pisos.com/comprar/chalet-abrera_centro_urbano-40080482210_100500/,Anuncio actualizado el 17/02/2025,"F, E","F, E",baix_llobregat (BCN),244 m²,4,3,Entre 10 y 20 años,,SA828-01026/3799,,,1,N/A,N/A,,204 m²,,,,,,,,,,,,,,,,,,,,,546 m²,N/A,,,,,,,,,,,,
Piso en Carrer de Salvador Baroné,Home Virtual Inmobiliaria,2.700 €/m²,189.000 €,70 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-51745379214_100500/,Anuncio actualizado el 18/02/2025,"G, E","G, E",baix_llobregat (BCN),70 m²,3,1,Entre 30 y 50 años,,SA4771-HOV-397/10676,N/A,,,,,,66 m²,1ª,Entre 20 y 40 €,,,N/A,,,Norte,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,
Casa en Can Amat,habitat Catalunya,2.207 €/m²,437.000 €,198 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-47566509658_100500/,Anuncio actualizado el 16/02/2025,"A, A","A, A",baix_llobregat (BCN),198 m²,3,3,Menos de 5 años,,SA828-01092/3799,,N/A,1,,,Propia,161 m²,,,,,,,,,,,,,,,,,,,,,400 m²,N/A,,,,,,,,,,,,
Chalet en Avinguda 302,FINCAS BELLAMAR,5.641 €/m²,1.100.000 €,195 m²,https://www.pisos.com/comprar/chalet-montmar-36757077787_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),195 m²,4,4,Menos de 5 años,En buen estado,SA2911-VC202337,Frío,,,N/A,Privado,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Bonaventura Calopa,CENTURY 21 NEXUS,2.780 €/m²,247.500 €,89 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_centre-48345958498_107700/,Anuncio actualizado el 26/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),89 m²,3,1,Entre 30 y 50 años,,VE117-0151-00078,,,,N/A,,,74 m²,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Vallirana,Forcadell Gavà,1.676 €/m²,285.000 €,170 m²,https://www.pisos.com/comprar/casa-vallirana_centro_urbano-51753569471_101800/,Anuncio actualizado el 20/02/2025,"E, F","E, F",baix_llobregat (BCN),170 m²,4,2,,,IF76847-GAV_3193,,Central,1,N/A,,Propia,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Baixador,HAPPY HOUSE Servicios Inmobiliarios,5.214 €/m²,365.000 €,70 m²,https://www.pisos.com/comprar/apartamento-baixador-51695792334_515193/,Anuncio actualizado el 18/02/2025,"E, F","E, F",baix_llobregat (BCN),70 m²,2,1,Más de 50 años,Reformado,4515193-CS001358EA,Frío y calor,Gas natural,1,N/A,Comunitario,,45 m²,2ª,Entre 80 y 100 €,Parquet,N/A,,,,Sur,N/A,,,N/A,Aluminio,,N/A,N/A,N/A,,N/A,,,,1,N/A,,,,,,,,,,
Apartamento en Sant Joan Despí,Durán Carasso,6.058 €/m²,618.000 €,102 m²,https://www.pisos.com/comprar/apartamento-sant_joan_despi_centro_urbano-45057178737_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),102 m²,3,3,,,BM201-ON0035/59,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Lluminetes,DEXTRA PISOS,8.426 €/m²,1.500.000 €,178 m²,https://www.pisos.com/comprar/casa-lluminetes-51723021600_500567/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),178 m²,4,2,Más de 50 años,En buen estado,500567-84125B,Frío,,1,,Privado,Propia,111 m²,,,Cerámico,,,,,Oeste,,,Lacada blanca,,Aluminio,,"1.,18 sale a jardin",25.25,,,,,,,Más de 2,,2.3,,,,,,,,,
Chalet en Centre,Sarria Properties,1.416 €/m²,850.000 €,600 m²,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-48414100507_100500/,Anuncio actualizado el 13/01/2025,"E, E","E, E",baix_llobregat (BCN),600 m²,8,6,Entre 20 y 30 años,,SA3248-SP915/8414,N/A,N/A,1,N/A,N/A,,460 m²,,,Mármol,,,,,Norte,,,,,,,,,,,,,1.112 m²,N/A,1,,,,,N/A,,,,,,
Piso en Carrer de Pere Puig,CALFERGRUP SERVEIS IMMOBILIARIS,2.391 €/m²,220.000 €,92 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-49253310655_108900/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),92 m²,3,2,,,XA882-1012,,,1,N/A,,,81 m²,,,,,N/A,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Baixador,DEXTRA PISOS,4.991 €/m²,559.000 €,112 m²,https://www.pisos.com/comprar/piso-baixador-48424565959_500567/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),112 m²,3,2,Más de 50 años,A reformar,500567-33130,Frío y calor,Central,1,P0: 46 p1: 100,Comunitario,Comunitaria,97 m²,3ª,325 €/trim agua incluida// * derrama de 250 €/mes,Gres,En zona comunitaria y otro privado en terrado,,,,Sur,N/A,,Madera,,Aluminio,,4.7 sale a lavadero,13.9 sale a terraza,N/A,,N/A,,,,Más de 2,,6.39 sale a terraza,,,,,,,,,
"Ático en Carrer dels Reis Catòlics, 8",VIVIENDA SINGULAR,4.580 €/m²,229.000 €,50 m²,https://www.pisos.com/comprar/atico-sant_joan_despi_centro_urbano08970-47528766180_525696/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),50 m²,2,1,Más de 50 años,Reformado,4525696-435PMA.STJDESPI,Frío y calor,Eléctrica,,N/A,,,41 m²,3ª,Entre 20 y 40 €,Parquet,,N/A,,N/A,Oeste,N/A,,,,Aluminio,,Abierta,N/A,N/A,,N/A,,,,,,,,,,,,,,,
Piso en La Pineda,DEXTRA PISOS,5.181 €/m²,285.000 €,55 m²,https://www.pisos.com/comprar/piso-castelldefels_la_pineda-49262129142_500567/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),55 m²,2,1,Más de 50 años,En buen estado,500567-23062,,,1,9,,Comunitaria,45 m²,3ª,60 €/ agua incluida,Gres,Comunitario,,,,Este,N/A,,Embero,,Aluminio,,3.75,14,,,N/A,N/A,,,,,,,,N/A,,,,,,
Piso en Centro,INMOMAR,4.293 €/m²,395.000 €,92 m²,https://www.pisos.com/comprar/piso-castelldefels_centre-51690304432_153800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),92 m²,4,2,Más de 50 años,Reformado,1538-4922,,,,10 m² y 10 m²,,,74 m²,2ª,,Parquet,,,N/A,,Bcn,N/A,,Haya,N/A,Aluminio,,"Oficce, ref",,N/A,,N/A,,,,Sin especificar,N/A,N/A,,,,,,,,,
Piso en Carrer Major,LADYGRUP SERVICIOS INMOBILIARIOS/JASPE CONSULTORES INMOBILIARIOS,3.470 €/m²,295.000 €,85 m²,https://www.pisos.com/comprar/piso-el_castell_poble_vell-51670828675_522396/,Anuncio actualizado el 07/02/2025,"G, G","G, G",baix_llobregat (BCN),85 m²,3,1,Entre 30 y 50 años,En buen estado,4522396-000009,Frío,Gas natural,,N/A,,,80 m²,5ª,,Gres,,N/A,,,,,,,N/A,Aluminio,N/A,N/A,N/A,,,N/A,,,,,N/A,N/A,,,,,,,,N/A,
Ático en Centro,FINCAS BELLAMAR,5.000 €/m²,320.000 €,64 m²,https://www.pisos.com/comprar/atico-vinyets_moli_vell-42584984747_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),64 m²,2,1,,,SA2911-VC202411,,,,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Vicenç dels Horts,GestServeis,1.902 €/m²,224.500 €,118 m²,https://www.pisos.com/comprar/casa-sant_vicenc_dels_horts_centro_urbano-47524297662_101300/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),118 m²,3,1,,,API208-1064-,,,,,,N/A,80 m²,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,VIDA MEJOR IMOBILIARIA,2.516 €/m²,213.900 €,85 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-51720369728_109300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),85 m²,3,1,,,EP954-VMV1261,N/A,N/A,,,,,73 m²,6ª,50€,N/A,,,N/A,,Norte,,,N/A,,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de la Baronessa de Maldà,Gamimar Servicios Inmobiliarios,4.363 €/m²,480.000 €,110 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-48431971325_527772/,Anuncio actualizado el 18/02/2025,"E, F","E, F",baix_llobregat (BCN),110 m²,4,2,Entre 30 y 50 años,En buen estado,4527772-000069,Frío,,1,,,,103 m²,1ª,,,,,N/A,N/A,,N/A,,,,,,N/A,N/A,,,N/A,,,,Más de 2,,N/A,,,,,,,,,
Casa en Can Amat,habitat Catalunya,2.207 €/m²,437.000 €,198 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-45913594378_100500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),198 m²,3,3,Menos de 5 años,,SA828-01084/3799,,N/A,1,,,Propia,161 m²,,,,,,,,,,,,,,,,,,,,,400 m²,N/A,,,,,,,,,,,,
Piso en calle del Canonge Doctor Auguet,FINQUES CH,2.877 €/m²,259.000 €,90 m²,https://www.pisos.com/comprar/piso-el_mas_rates_la_montserratina_el_ginestar-51729346528_101300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",baix_llobregat (BCN),90 m²,3,2,Entre 20 y 30 años,,API256-OP250104,,,,,,,75 m²,,,,N/A,,N/A,,Nord-oeste,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Baixador,FINCAS BELLAMAR,4.862 €/m²,248.000 €,51 m²,https://www.pisos.com/comprar/piso-baixador-50048394680_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",baix_llobregat (BCN),51 m²,2,1,,En buen estado,SA2911-VC202441,,,,N/A,,,,1ª,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,FINCAS BELLAMAR,4.453 €/m²,285.000 €,64 m²,https://www.pisos.com/comprar/piso-vinyets_moli_vell-42502557976_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),64 m²,2,1,,,SA2911-VC202410,,,,,,,52 m²,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer d'En Domènec, 32",ESTRENUS,4.971 €/m²,348.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_joan_despi_centro_urbano08970-5147707306_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,3,2,,A estrenar,4529415-21744506,,,,,,,,1ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Miranda,INMOMAR,2.692 €/m²,280.000 €,104 m²,https://www.pisos.com/comprar/piso-la_gavarra-50900610457_153800/,Anuncio actualizado el 29/01/2025,"G, F","G, F",baix_llobregat (BCN),104 m²,4,2,Más de 50 años,En buen estado,1538-API_770,,,,,,,87 m²,3ª,504 anual,Parquet,,,,N/A,,,,,N/A,Aluminio,,N/A,N/A,,Cerradura de segurida -puerta de seguridad,N/A,N/A,,,,N/A,N/A,,,,,,,,,
Piso en Carrer Rosselló,FINCAS ALARCON,2.708 €/m²,195.000 €,72 m²,https://www.pisos.com/comprar/piso-marianao-50880432322_998827/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),72 m²,3,1,Más de 50 años,Reformado,4998827-2335,Frío y calor,Gas natural,,,,,72 m²,1ª,,Parquet,,N/A,,,Norte,,,Sapelly,,Aluminio,,Amplia,N/A,,,,,,,,,Añadido a cocina,,,,,,,,A patio de manzana,
