nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Casa en Premià de Dalt,URBENIA,2.271 €/m²,518.000 €,228 m²,https://www.pisos.com/comprar/casa-premia_de_dalt_centro_urbano-48389257861_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),228 m²,205 m²,5,3,,,,En buen estado,Entre 20 y 40 €,EP1014-97562,,,,,,,,,,,,,,N/A,N/A,,2,,,1 balcón y 1 patio,,,,,,,,N/A,,,,,,N/A,,,
"Piso en Ronda de Barceló, 35",IAD ESPAÑA,3.269 €/m²,255.000 €,78 m²,https://www.pisos.com/comprar/piso-mataro_eixample-50834786582_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",maresme (BCN),78 m²,78 m²,2,1,,,Menos de 5 años,,,UVC882-31681,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Apartamento en Vilassar de Dalt,Engel & Völkers MMC Barcelona,3.804 €/m²,350.000 €,92 m²,https://www.pisos.com/comprar/apartamento-vilassar_de_dalt_centro_urbano-48359658052_101800/,Anuncio actualizado el 08/10/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),92 m²,,3,2,,,,,,IF76306-I-00YP4A-W-02XA7Q,,,Central,,,,,,,,,,,,,,1,,,,,,,,,,N/A,,,,,,,,,,
Chalet en Alella,SETCLAUS ALELLA,3.097 €/m²,855.000 €,276 m²,https://www.pisos.com/comprar/chalet-alella_centro_urbano-48367903650_108900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),276 m²,250 m²,5,3,,,,En buen estado,Entre 10 y 20 €,XA602-9143,,,Central,,,,,,,,,,Frío y calor,N/A,15m,,2,N/A,N/A,1 terraza mas dos balcones,,Propia,,,,,,N/A,,,,,,10m,,,
"Casa en Avinguda de Montserrat, 47",FINQUES CITY GRUP,2.229 €/m²,825.000 €,370 m²,https://www.pisos.com/comprar/casa-pineda_de_mar_centre-90049912080_100100/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),370 m²,370 m²,,,,,,,,518056-J334,,,,,,,370 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Alella,Access Home Real Estate,2.195 €/m²,2.200.000 €,1.002 m²,https://www.pisos.com/comprar/casa-alella_centro_urbano-48355154588_108900/,Anuncio actualizado el 14/11/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),1.002 m²,,,,,,,En buen estado,,XA643-3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa adosada en Can Nadal-Sant Pere,URBENIA,1.586 €/m²,230.000 €,145 m²,https://www.pisos.com/comprar/casa_adosada-can_nadal_sant_pere-47535614566_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),145 m²,125 m²,3,1,,,,En buen estado,,EP1014-96314,,,,,,,,N/A,,,,,,N/A,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,Adosada,,
Piso en Cerdanyola,URBENIA,1.483 €/m²,89.000 €,60 m²,https://www.pisos.com/comprar/piso-cerdanyola_nord-47529995783_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),60 m²,51 m²,2,1,6ª,N/A,,,,EP1014-95812,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa en Centre,Engel & Völkers MMC Barcelona,1.425 €/m²,499.000 €,350 m²,https://www.pisos.com/comprar/casa-pineda_de_mar_centre-50051072639_101800/,Anuncio actualizado el 22/01/2025,"F, F","F, F",maresme (BCN),350 m²,,9,2,,,Más de 50 años,,,IF76306-I-00YX7W-W-02Y03S,,,,N/A,,,270 m²,N/A,,,,,,,,,1,,,N/A,,,,,,,,,,,,,,N/A,,,
"Piso en Ronda de Barceló, 35",IAD ESPAÑA,3.304 €/m²,347.000 €,105 m²,https://www.pisos.com/comprar/piso-mataro_eixample-50926248644_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",maresme (BCN),105 m²,105 m²,3,2,,,Menos de 5 años,,,UVC882-31682,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Apartamento en Premià de Mar,Engel & Völkers MMC Barcelona,3.333 €/m²,350.000 €,105 m²,https://www.pisos.com/comprar/apartamento-premia_de_mar_centro_urbano-50890861975_101800/,Anuncio actualizado el 29/01/2025,"E, D","E, D",maresme (BCN),105 m²,,4,1,1ª,,Más de 50 años,,,IF76306-I-00YZMX-W-02Y9IO,,,Central,,,,,,,,,,,,N/A,,,,,N/A,Privado,,,,,,N/A,,,,,,,N/A,,,
Casa en Sant Vicenç de Montalt,Engel & Völkers MMC Barcelona,4.112 €/m²,987.000 €,240 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-50867724680_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),240 m²,,4,3,,,,,,IF76306-I-00YZQ9-W-02YHB3,,,,,,,800 m²,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,
Casa en Urbanitzacions Terrabrava-Tordera Parc,URBENIA,2.307 €/m²,270.000 €,117 m²,https://www.pisos.com/comprar/casa-urbanitzacions_terrabrava_tordera_parc-49167335039_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),117 m²,68 m²,5,2,,,,En buen estado,,EP1014-97736,,,,,,,,,,,,,,N/A,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Chalet en Centro,SETCLAUS ALELLA,1.892 €/m²,795.000 €,420 m²,https://www.pisos.com/comprar/chalet-cabrils_centro_urbano-43336688106_108900/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),420 m²,397 m²,5,3,,,,,,XA602-9038,,,Gas natural,,,Este,,,,,,,Frío y calor,N/A,Office,,2,N/A,,N/A,,Propia,,,,,,N/A,,,,,,N/A,,,
Casa en Centre,Engel & Völkers MMC Barcelona,1.150 €/m²,375.000 €,326 m²,https://www.pisos.com/comprar/casa-pineda_de_mar_centre-30886526038_101800/,Anuncio actualizado el 31/07/2024,"E, E","E, E",maresme (BCN),326 m²,,4,2,,,Más de 50 años,,,IF76306-I-00WIZU-W-02QS2I,,,,N/A,,Sureste,235 m²,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Casa rústica en Urbanitzacions El Mas Móra-Sant Daniel-Blanes Mar,Engel & Völkers MMC Barcelona,1.377 €/m²,438.000 €,318 m²,https://www.pisos.com/comprar/casa_rustica-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-14212685687_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",maresme (BCN),318 m²,,7,4,,,Entre 30 y 50 años,,,IF76306-I-00UJTD-W-02LDZ8,,,Central,N/A,,A la montaña,1.169 m²,N/A,,,,,,,N/A,,1,,,,Privado,,,,,,,,,,,,,N/A,Rústica,,
Casa en calle El Greco,INMODERNA GSI,1.772 €/m²,374.000 €,211 m²,https://www.pisos.com/comprar/casa-pinemar-48402086962_101300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),211 m²,107 m²,4,2,,,Más de 50 años,,,API222-083970747,,,,N/A,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
Casa rústica en Cinc Sènies,AtipicFinques,2.428 €/m²,850.000 €,350 m²,https://www.pisos.com/comprar/casa_rustica-cinc_senies08304-48350330173_101800/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),350 m²,,3,1,,,,,,IF76888-CRG - 046,,,,,,,22.000 m²,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,Rústica,,
Casa rústica en calle Carretera de Torrentbó Bv5031,Engel & Völkers MMC Barcelona,1.958 €/m²,2.350.000 €,1.200 m²,https://www.pisos.com/comprar/casa_rustica-arenys_de_munt_centro_urbano-22550187360_101800/,Anuncio actualizado el 02/10/2024,"F, E","F, E",maresme (BCN),1.200 m²,,12,6,,,,,,IF76306-I-00UWLM-W-02MBQI,,,,N/A,,,40.000 m²,,1,,,,,,N/A,,1,,,,Privado,,,,,,,,,,,,,N/A,Rústica,,
Piso en Playa Canet de Mar,Assessors Dupre I Fernandez,1.849 €/m²,270.000 €,146 m²,https://www.pisos.com/comprar/piso-canet_de_mar_centro_urbano-50874010546_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),146 m²,91 m²,4,2,1ª,,Más de 50 años,,Entre 40 y 60 €,SA5063-FV397/11035,,,Gas natural,,N/A,Sur,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,N/A,,,
Piso en Carrer de Cals Frares,Llarcelona,4.357 €/m²,549.000 €,126 m²,https://www.pisos.com/comprar/piso-tiana_centro_urbano08391-51680430379_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),126 m²,119 m²,4,2,2ª,,Entre 20 y 30 años,,,SA2024-Llar1538/4463,,,N/A,,N/A,,,,1,,Mármol,,N/A,,,,1,N/A,N/A,N/A,N/A,Comunitaria,,,,,N/A,N/A,,,,,,N/A,,,
"Piso en calle Pompeu Fabra 50 y C/ Malgrat,  1",URBENIA,3.888 €/m²,350.000 €,90 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-5023345484_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),90 m²,,3,2,2ª,,,A estrenar,,EP1014-21664495,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa en Teià,Engel & Völkers MMC Barcelona,3.333 €/m²,3.400.000 €,1.020 m²,https://www.pisos.com/comprar/casa-teia_centro_urbano-45858515750_101800/,Anuncio actualizado el 25/07/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),1.020 m²,,6,7,,,,,,IF76306-I-00YGJL-W-02O6L7,,,Central,,,,6.200 m²,,1,,,,,,N/A,,1,,,,Privado,Propia,,,,,,,,,,,,,,,
Casa en Agora Park,Assessors Dupre I Fernandez,1.180 €/m²,307.000 €,260 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa0-50026917631_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),260 m²,258 m²,6,3,,,Entre 20 y 30 años,,,SA5063-HG-TOR-4/11035,,,N/A,,,,799 m²,,,,Terrazo,N/A,N/A,,,,,,,N/A,N/A,Propia,N/A,,,,,N/A,,,,,,,,,
Casa en Sant Vicenç de Montalt,Engel & Völkers MMC Barcelona,3.092 €/m²,1.299.000 €,420 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-40060725628_101800/,Anuncio actualizado el 21/05/2024,"F, E","F, E",maresme (BCN),420 m²,,5,6,,,Entre 30 y 50 años,,,IF76306-I-00XT74-W-02U9R2,,,Central,,,,820 m²,,,,,,,,,,,,,,Privado,Propia,,,,,,,,,,,,,,,
Piso en Avinguda de la Verge de Montserrat,RIVAS GRAN HABITAT,2.647 €/m²,180.000 €,68 m²,https://www.pisos.com/comprar/piso-malgrat_de_mar_centro_urbano-50091799471_996907/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),68 m²,68 m²,2,1,Bajo,,Entre 30 y 50 años,En buen estado,,996907-110446,Aluminio,N/A,Gas natural,N/A,,Este,,,,,Gres,,,,N/A,N/A,,,,,Comunitario,Comunitaria,,,,,,,,N/A,,,,,,,
Piso en Centro,URBENIA,1.744 €/m²,239.000 €,137 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-51699378514_109300/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),137 m²,111 m²,4,2,1ª,N/A,,En buen estado,Entre 40 y 60 €,EP1014-98193,,,,,,,,,,,,,,N/A,N/A,,1,,,N/A,,,,,,,N/A,N/A,,,,,,N/A,,,
Casa en Urbanitzacions Niàgara Parc-Àgora Parc-Roca-Rossa,URBENIA,1.326 €/m²,305.000 €,230 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa0-47520403725_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),230 m²,222 m²,4,2,,,,En buen estado,,EP1014-95027,,,,,,,,,,,,,,N/A,N/A,,1,,,N/A,,,,,,,,N/A,,,,,,50 m²,,,
Casa en Premià de Dalt,URBENIA,6.545 €/m²,360.000 €,55 m²,https://www.pisos.com/comprar/casa-premia_de_dalt_centro_urbano-47511061535_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),55 m²,,2,1,,,,En buen estado,,EP1014-94595,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Chalet en Sant Genis de Palafolls,Assessors Dupre I Fernandez,3.311 €/m²,553.000 €,167 m²,https://www.pisos.com/comprar/chalet-palafolls_centro_urbano-47505460883_100500/,Anuncio actualizado el 14/02/2025,"A, A","A, A",maresme (BCN),167 m²,139 m²,3,3,,,Menos de 5 años,,,SA5063-HG-PAL-5/11035,,,,,,,75 m²,,,,,,,,,,1,,,N/A,N/A,,,,,,,,,,,,,,,,
Casa rústica en Cabrera de Mar,Engel & Völkers MMC Barcelona,5.693 €/m²,7.800.000 €,1.370 m²,https://www.pisos.com/comprar/casa_rustica-cabrera_de_mar_centro_urbano-25878848743_101800/,Anuncio actualizado el 31/07/2024,"C, C","C, C",maresme (BCN),1.370 m²,,7,8,,,Más de 50 años,,,IF76306-I-00VTEI-W-02PFWC,,,Central,N/A,,A la montaña,5.915 m²,N/A,1,,,,,,N/A,,1,,,,Privado,Propia,,,,,,,,,,,,,Rústica,,
Casa en Sant Vicenç de Montalt,Engel & Völkers MMC Barcelona,3.221 €/m²,1.195.000 €,371 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-41686894570_101800/,Anuncio actualizado el 21/05/2024,"A, A","A, A",maresme (BCN),371 m²,,5,4,,,Entre 10 y 20 años,,,IF76306-I-00XZWL-W-02UX5V,,,,,,,807 m²,,1,,,,,,N/A,,,,,,Privado,Propia,,,,,,,,,,,,,,,
Apartamento en Centre,Engel & Völkers MMC Barcelona,2.894 €/m²,165.000 €,57 m²,https://www.pisos.com/comprar/apartamento-pineda_de_mar_centre-51702238720_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),57 m²,,1,1,,,,,,IF76306-I-00Z016-W-02YJ3M,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,N/A,,,,,,,,,,
Casa en Nucli Urbà,URBENIA,1.649 €/m²,315.000 €,191 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-47589846757_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),191 m²,160 m²,4,4,,,,En buen estado,,EP1014-97000,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Chalet en Can Moré-Santa Anna,ALFA CASA,2.257 €/m²,790.000 €,350 m²,https://www.pisos.com/comprar/chalet-can_more_santa_anna-48413606124_109300/,Anuncio actualizado el 05/11/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),350 m²,300 m²,10,5,,,,,,EP1011-1983,,,Gas natural,,,Sureste,,N/A,,,,,Frío y calor,N/A,N/A,,Más de 2,,N/A,,,Propia,,,,,,N/A,,,,,,N/A,,,
Piso en Centro del Pueblo,FINQUES QUIM,2.589 €/m²,189.000 €,73 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-50870648214_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),73 m²,70 m²,3,2,Bajo,,Entre 30 y 50 años,,Más de 100 €,SA1765-P1924/4211,,,Gas natural,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa en Nucli Urbà,Engel & Völkers MMC Barcelona,2.318 €/m²,320.000 €,138 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-50021824586_101800/,Anuncio actualizado el 06/02/2025,"G, F","G, F",maresme (BCN),138 m²,,3,3,,,Entre 20 y 30 años,,,IF76306-I-00YV5F-W-02WZA5,,,,,,,669 m²,,,,,,,,,,1,,,N/A,Privado,Propia,,,,,,,,,,,,,,,
Casa en Fogars de La Selva,FINQUES RIELLS I VIABREA,3.300 €/m²,330.000 €,100 m²,https://www.pisos.com/comprar/casa-fogars_de_la_selva_centro_urbano-27553069505_511708/,Anuncio actualizado el 10/02/2025,"E, E","E, E",maresme (BCN),100 m²,100 m²,3,2,,,Entre 10 y 20 años,En buen estado,,511708-VC2242,Aluminio,,Gasoil,,,Sur,800 m²,,,N/A,Gres,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,N/A,N/A,,,,,Aluminio,,,,,,,
Apartamento en Centre,Engel & Völkers MMC Barcelona,4.015 €/m²,253.000 €,63 m²,https://www.pisos.com/comprar/apartamento-pineda_de_mar_centre-51692627833_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),63 m²,,2,1,2ª,,,,,IF76306-I-00Z012-W-02YJ33,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,N/A,,,,,,,,,,
Casa en Malgrat de Mar,CONROMA LA SELVA S.L.,796 €/m²,25.500 €,32 m²,https://www.pisos.com/comprar/casa-malgrat_de_mar_centro_urbano-50000150770_515529/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),32 m²,32 m²,2,1,,,,En buen estado,,515529-b-0062,Aluminio,,,,,Sur,64 m²,N/A,1,,Sintasol,,Frío y calor,,Independiente,N/A,,,,,,Comunitaria,N/A,N/A,,N/A,,,,,,,,,,,
Apartamento en Centre,Engel & Völkers MMC Barcelona,3.805 €/m²,274.000 €,72 m²,https://www.pisos.com/comprar/apartamento-pineda_de_mar_centre-51700776031_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),72 m²,,2,2,2ª,,,,,IF76306-I-00Z02V-W-02YJ39,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de la Mare Alfonsa Cavin,Aliseda Inmobiliaria,1.837 €/m²,141.500 €,77 m²,https://www.pisos.com/comprar/piso-rocafonda08304-41676405616_105900/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),77 m²,,3,1,,,,,,AN1-ANT00030656473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Passeig Marítim,FINQUES QUIM,2.758 €/m²,160.000 €,58 m²,https://www.pisos.com/comprar/apartamento-malgrat_de_mar_centro_urbano-50835542976_100500/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),58 m²,,1,1,5ª,,Entre 30 y 50 años,,Entre 80 y 100 €,SA1765-P1920/4211,,,,,,,,,,,Gres,,,,,,,,,N/A,N/A,Comunitaria,,,,,N/A,,,,,,,,,,
Piso en Montgat,PROMOCAT BDN IMMOBILIÀRIA SL,3.100 €/m²,279.000 €,90 m²,https://www.pisos.com/comprar/piso-montgat_centro_urbano-42573677214_421900/,Anuncio actualizado el 18/02/2025,"G, G","G, G",maresme (BCN),90 m²,90 m²,4,1,Entresuelo,N/A,Más de 50 años,Reformado,N/A,4219-003197,Aluminio,N/A,Gas natural,N/A,N/A,Sur,,,,,Gres,,Frío y calor,,N/A,N/A,,N/A,,,,,,,,,,,N/A,N/A,,,,,,,
Ático en Rocafonda,URBENIA,1.482 €/m²,83.000 €,56 m²,https://www.pisos.com/comprar/atico-el_palau08304-50841910024_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),56 m²,51 m²,2,1,,N/A,,En buen estado,Entre 20 y 40 €,EP1014-95785,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,
Casa en Camping Tordera Park,CONROMA LA SELVA S.L.,1.256 €/m²,49.000 €,39 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa-42550454557_515529/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),39 m²,39 m²,3,1,,,,En buen estado,,515529-B-0025,Aluminio,,,,,A la montaña,100 m²,N/A,1,N/A,Gres,,,,,,,,N/A,N/A,Privado,Comunitaria,,,,N/A,,,,,,N/A,,,,,
Dúplex en Via Europa,URBENIA,5.100 €/m²,408.000 €,80 m²,https://www.pisos.com/comprar/duplex-via_europa08304-51719594900_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),80 m²,69 m²,3,2,4ª,N/A,,En buen estado,,EP1014-97429,,,,,,,,,,,,,,,N/A,,2,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Piso en Vilassar de Dalt,URBENIA,3.105 €/m²,295.000 €,95 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-47571874862_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),95 m²,85 m²,3,1,1ª,N/A,,En buen estado,Entre 60 y 80 €,EP1014-97348,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,N/A,N/A,,,,,,,,,
"Piso en Ronda de Barceló, 35",IAD ESPAÑA,3.052 €/m²,351.000 €,115 m²,https://www.pisos.com/comprar/piso-mataro_eixample-50840631181_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",maresme (BCN),115 m²,115 m²,3,2,,,Menos de 5 años,,,UVC882-31683,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa adosada en Centre,FINQUES QUIM,2.129 €/m²,345.000 €,162 m²,https://www.pisos.com/comprar/casa_adosada-palafolls_centro_urbano-49221037463_100500/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),162 m²,,3,2,,,Más de 50 años,,,SA1765-C0773/4211,,,Gas natural,,,Sureste,,,,,Gres,,N/A,N/A,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,Adosada,,
Casa en Port Balís-Platges,Engel & Völkers MMC Barcelona,2.731 €/m²,1.300.000 €,476 m²,https://www.pisos.com/comprar/casa-port_balis_platges-39219589288_101800/,Anuncio actualizado el 26/07/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),476 m²,,5,4,,,Menos de 5 años,,,IF76306-I-00W2EZ-W-02PSL9,,,Central,,,Norte,700 m²,,1,,,,,,N/A,,1,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Dúplex en Centro,URBENIA,3.092 €/m²,470.000 €,152 m²,https://www.pisos.com/comprar/duplex-arenys_de_mar_centro_urbano-48356110846_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),152 m²,,4,2,3ª,N/A,,En buen estado,,EP1014-92777,,,,,,,,,,,,,,,N/A,,1,,,N/A,,Comunitaria,,,,,N/A,N/A,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,3.877 €/m²,190.000 €,49 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5225692238_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),49 m²,,1,1,,,,A estrenar,,IF76306-D-000MMY,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Chalet en Nova Alella,SETCLAUS ALELLA,6.041 €/m²,2.900.000 €,480 m²,https://www.pisos.com/comprar/chalet-alella_centro_urbano-51755533008_108900/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),480 m²,417 m²,4,3,,,,En buen estado,,XA602-9227,,,Gasoil,,,,,,,,,,Frío y calor,N/A,23m ofice,,Más de 2,N/A,,N/A,,Propia,,,,,,N/A,,,,,,N/A,,,
Chalet en Sant Crist,SETCLAUS ALELLA,2.591 €/m²,1.350.000 €,521 m²,https://www.pisos.com/comprar/chalet-cabrils_centro_urbano-45044002273_108900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),521 m²,468 m²,5,6,,,,En buen estado,,XA602-9080,,,Gas natural,,,Suroeste,,,,,,,,N/A,26.40m,,2,N/A,N/A,44+61.35,,Propia,,,,,,N/A,,,,,,N/A,,,
Ático en Tiana,Access Home Real Estate,4.552 €/m²,610.000 €,134 m²,https://www.pisos.com/comprar/atico-tiana_centro_urbano08391-50053201519_108900/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),134 m²,,3,2,2ª,,,,,XA643-4009,,,Eléctrica,,,,,,,,,,Frío y calor,,N/A,,1,N/A,,N/A,,Comunitaria,,,,,N/A,,,,,,,T03 o t02,,,
Piso en Montgat,URBENIA,3.088 €/m²,278.000 €,90 m²,https://www.pisos.com/comprar/piso-montgat_centro_urbano-51692347348_109300/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),90 m²,81 m²,4,1,1ª,N/A,,En buen estado,,EP1014-98168,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Piso en Rocafonda,URBENIA,2.600 €/m²,169.000 €,65 m²,https://www.pisos.com/comprar/piso-rocafonda08304-50922511164_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),65 m²,56 m²,2,1,,N/A,,En buen estado,Entre 10 y 20 €,EP1014-98042,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Piso en Centre,URBENIA,1.000 €/m²,380.000 €,380 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-47564954300_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),380 m²,370 m²,,1,1ª,N/A,,,,EP1014-94482,,,,,,,,,,,,,,,,,,,,Balcones,,,,,,,,N/A,,,,,,,,,
Casa adosada en Centre,FINQUES QUIM,1.616 €/m²,480.000 €,297 m²,https://www.pisos.com/comprar/casa_adosada-pineda_de_mar_centre-50896407473_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),297 m²,204 m²,4,3,,,Entre 30 y 50 años,,,SA1765-C0777/4211,,,N/A,,,Suroeste,,,1,,Gres,,N/A,N/A,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,,Adosada,,
