nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
Piso en Can Clos-Els Pinetons,BANKER & HOUSE,2.954 €/m²,325.000 €,110 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-50900823886_109300/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),110 m²,3,3,,Reformado,EP799-1553,,N/A,90 m²,N/A,,,,,,,N/A,N/A,N/A,,,,N/A,1,,,,,,,,N/A,,,,,,,,,,,,,,,
"Piso en Carrer de Jaume Balmes, 33",Tot Habitat Montcada,3.235 €/m²,145.600 €,45 m²,https://www.pisos.com/comprar/piso-montcada_centre_la_ribera-44175459466_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),45 m²,1,1,,,IF6418-20,N/A,,,,,,,,,,,Central,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Les Termes,URBAN GRUP central,2.222 €/m²,120.000 €,54 m²,https://www.pisos.com/comprar/piso-les_termes08204-51698385405_101800/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_sud (BCN),54 m²,2,1,,,IF77140-UGB1766,N/A,,,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Ronda del Ponent, 74",COLDWELL BANKER STYLE REAL ESTATE,3.850 €/m²,346.500 €,90 m²,https://www.pisos.com/comprar/duplex-centre_covadonga_centre08201-41745151278_106700/,Anuncio actualizado el 23/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),90 m²,1,1,,,IFC76326-CBMT386S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Polinyà,FINCAS BADIA DEL VALLES,3.441 €/m²,585.000 €,170 m²,https://www.pisos.com/comprar/casa_pareada-polinya_centro_urbano-44212705029_101800/,Anuncio actualizado el 14/02/2025,"D, D","D, D",valles_occidental_sud (BCN),170 m²,4,2,,,IF76103-CASA EXPECTACULAR A POLINYA,,N/A,,,Entre 20 y 30 años,,,,,,,Central,N/A,,N/A,,,,Propia,1,,N/A,,,,,360 m²,,Privado,N/A,,,,,,,Pareada,,N/A,,
Dúplex en Serraparera,BANKER & HOUSE,4.369 €/m²,520.000 €,119 m²,https://www.pisos.com/comprar/duplex-serraparrera08290-32546393706_109300/,Anuncio actualizado el 08/05/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),119 m²,4,2,,En buen estado,EP799-1269,N/A,N/A,95 m²,N/A,,Más de 100 €,,,,,N/A,N/A,N/A,,,,N/A,2,,,,N/A,,,,N/A,,N/A,,N/A,,,,,,,,,,,
Ático en Terra Nostra-Font Pudenta,Tot Habitat Montcada,3.305 €/m²,238.000 €,72 m²,https://www.pisos.com/comprar/atico-terra_nostra_font_pudenta-45873254805_101800/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_sud (BCN),72 m²,2,1,2ª,,IF6418-2072,,N/A,,,Más de 50 años,,,,,,,Central,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en Centro,ImmoTESA,1.719 €/m²,153.000 €,89 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-48394935916_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),89 m²,3,1,2ª,A reformar,EP63-19711818,N/A,,,N/A,,,,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Quirze del Vallès,"FELIU FRANQUESA, S.L.",2.783 €/m²,849.000 €,305 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-43385593404_101300/,Anuncio actualizado el 31/01/2025,"B, A","B, A",valles_occidental_sud (BCN),305 m²,3,3,,,API277-3561,N/A,,270 m²,,Entre 5 y 10 años,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Ronda del Ponent, 74",COLDWELL BANKER STYLE REAL ESTATE,3.891 €/m²,319.117 €,82 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-41762995602_106700/,Anuncio actualizado el 02/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),82 m²,3,2,,,IFC76326-CBMT386M,,,82 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Creu Alta,ESPAI PROPI,3.922 €/m²,623.700 €,159 m²,https://www.pisos.com/comprar/casa-la_creu_alta08208-49184961762_100500/,Anuncio actualizado el 03/12/2024,"G, F","G, F",valles_occidental_sud (BCN),159 m²,3,2,,,SA3518-V_SBD_C.ALTA/8685,,N/A,130 m²,,Más de 50 años,,,Parquet,,,,Gas natural,,N/A,,,Sureste,1,,,,,,,,N/A,317 m²,N/A,N/A,,,,,,,,,,,,
"Casa en Carrer Carolines, 4",COLDWELL BANKER STYLE REAL ESTATE,1.566 €/m²,1.175.000 €,750 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-44263418344_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),750 m²,9,6,,,IFC76326-CBMT595,,,750 m²,,,,,,,,,,,,,,,,,,,,,,,,2.388 m²,,,,,,,,,,,,,,
Casa adosada en Centre,Sòl i Sostre,1.911 €/m²,390.000 €,204 m²,https://www.pisos.com/comprar/casa_adosada-centre_covadonga_centre08202-50068738708_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),204 m²,3,2,,A reformar,SA2699-CV2408,,N/A,190 m²,,Más de 50 años,,,,,,,,,,,,,1,,1,,,,,,,145 m²,,,,,,,,,,Adosada,,,,
Piso en Centre,ENTORNO GESTION INMOBILIARIA,2.409 €/m²,265.000 €,110 m²,https://www.pisos.com/comprar/piso-polinya_centro_urbano-846603148_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),110 m²,3,2,1ª,,SA563-MM4856/844,N/A,N/A,90 m²,,Entre 20 y 30 años,Entre 40 y 60 €,,Gres,,,N/A,Gas natural,,,,N/A,Este,1,,1,,N/A,,,,N/A,,N/A,,,,,,,,,,,,,
Casa en Zona Nord-La Serreta,D & HABITAT,754 €/m²,499.000 €,661 m²,https://www.pisos.com/comprar/casa-zona_nord_la_serreta-49170795534_510396/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),661 m²,5,2,,En buen estado,510396-0310536,,Varias,661 m²,,Entre 30 y 50 años,,N/A,Terrazo,Aluminio,,Frío y calor,Gasoil,N/A,N/A,N/A,,,Más de 2,,,,N/A,N/A,N/A,N/A,,,,,,,N/A,,,N/A,,,N/A,,,
Piso en Plaza Dels Merinals,Fincas Nogales,1.901 €/m²,135.000 €,71 m²,https://www.pisos.com/comprar/piso-els_merinals08205-51715771631_101300/,Anuncio actualizado el 20/02/2025,"F, F","F, F",valles_occidental_sud (BCN),71 m²,3,1,,,API284-00141,,,70 m²,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Gracia,ImmoTESA,2.349 €/m²,195.000 €,83 m²,https://www.pisos.com/comprar/piso-distrito_gracia-51682932017_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),83 m²,3,2,1ª,En buen estado,EP63-19711868A,N/A,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Montcada Centre-La Ribera,Tot Habitat Montcada,2.650 €/m²,265.000 €,100 m²,https://www.pisos.com/comprar/piso-montcada_centre_la_ribera-47537653935_101800/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_sud (BCN),100 m²,4,2,2ª,,IF6418-2077,N/A,,,,,,,,,,,Central,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Pau, 96",Merce Gomez Marti,2.583 €/m²,372.000 €,144 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50902817983_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_sud (BCN),144 m²,3,2,,,UVC91-31707,N/A,N/A,144 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu Alta,VALLFINQUES,1.635 €/m²,139.000 €,85 m²,https://www.pisos.com/comprar/piso-la_creu_alta-94184661062_518715/,Anuncio actualizado el 01/02/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),85 m²,3,1,4ª,En buen estado,518715-251566,,,80 m²,N/A,Entre 30 y 50 años,,,Gres,,N/A,Frío,Gas natural,N/A,N/A,N/A,N/A,,,,,N/A,,,,,,,,,,,,,N/A,,,,N/A,,,
"Piso en Avinguda de Barberà, 447",PERITAX,3.299 €/m²,211.152 €,64 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-48387701076_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),64 m²,2,2,1ª,,SA730-G000524/2691,N/A,,59 m²,,Menos de 5 años,,,,,,,Gas natural,,,,,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Sant Quirze del Vallès,IMMOBILIARIA SANT QUIRZE,3.553 €/m²,334.000 €,94 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-51683199474_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),94 m²,3,2,,,IFC75932-3836,N/A,,94 m²,,Entre 20 y 30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Sant Ramon,Finques Aranda,1.916 €/m²,460.000 €,240 m²,https://www.pisos.com/comprar/casa_adosada-cerdanyola_del_valles_sant_ramon-51686371903_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),240 m²,5,1,,En buen estado,SA2651-107188057,,N/A,,,Más de 50 años,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,Adosada,,,,
Piso en Sant Andreu,BANKER & HOUSE,2.593 €/m²,249.000 €,96 m²,https://www.pisos.com/comprar/piso-ripollet_sant_andreu08291-49181593609_109300/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),96 m²,3,1,,,EP799-1516,N/A,N/A,,N/A,,Entre 40 y 60 €,,,,,N/A,,N/A,,,,,1,,,,,,,,N/A,,,,,,,,,,,,,,,
"Piso en Carrer dels Calders, 157",Merce Gomez Marti,2.504 €/m²,288.000 €,115 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-50865098644_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_sud (BCN),115 m²,3,2,,,UVC91-31668,N/A,,115 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Serra,ImmoTESA,2.703 €/m²,219.000 €,81 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-51711992450_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),81 m²,3,1,3ª,Reformado,EP63-19711865,N/A,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu,PROMOCASA,2.092 €/m²,136.000 €,65 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-37537341579_109300/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),65 m²,3,1,3ª,,EP889-1218,,Cerrado,,,,,,,,,,,Origen,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Sant Quirze del Vallès,IMMOBILIARIA SANT QUIRZE,3.200 €/m²,320.000 €,100 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-47587943573_106700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),100 m²,3,2,,,IFC75932-2238,N/A,,100 m²,,Entre 20 y 30 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,4.500 €/m²,630.000 €,140 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-4842169658_109700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),140 m²,4,2,,A estrenar,IF76306-D-000LMR,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Living,IMMOBILIARIA SANT QUIRZE,2.305 €/m²,196.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-51717908660_106700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),85 m²,3,1,,,IFC75932-3820 (2),N/A,,85 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Via Alexandra,PERITAX,1.928 €/m²,189.000 €,98 m²,https://www.pisos.com/comprar/piso-can_rull08206-51666802722_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),98 m²,3,1,5ª,,SA730-G8148/2691,N/A,,82 m²,,Más de 50 años,,,Gres,,,,,,N/A,,,Este,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Centro,ImmoTESA,1.755 €/m²,147.500 €,84 m²,https://www.pisos.com/comprar/piso-badia_del_valles_centro_urbano-47549979557_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),84 m²,3,1,7ª,Reformado,EP63-19711792,N/A,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Muç-Castellnou-Can Mir,D & HABITAT,2.249 €/m²,449.900 €,200 m²,https://www.pisos.com/comprar/casa-sant_muc_castellnou_can_mir-50033014890_510396/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_sud (BCN),200 m²,5,3,,A estrenar,510396-0010539,,N/A,180 m²,,,,Aluminio,Parquet,Aluminio,,Frío,Central,Americana,N/A,,,Sur,1,Propia,,N/A,N/A,N/A,N/A,N/A,,562 m²,,Privado,,,,N/A,,,,,N/A,,,
Piso en Plaça de la Creu de Barberà,CORNEX CAPITAL,2.529 €/m²,215.000 €,85 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-38386135219_108900/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),85 m²,2,2,Bajo,En buen estado,XA597-V-SABADELL-PB7,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Casa adosada en Concordia,FINQUES BUENOS COMAS (FINQUES SANT CELONI),3.409 €/m²,416.000 €,122 m²,https://www.pisos.com/comprar/casa_adosada-la_concordia08206-51669929529_100500/,Anuncio actualizado el 05/02/2025,"D, C","D, C",valles_occidental_sud (BCN),122 m²,4,2,,,SA1638-8-111-17740/3581,,N/A,100 m²,,Entre 30 y 50 años,,,Gres,,,,Gas natural,,N/A,,,Sur,1,,,,,,,,N/A,104 m²,N/A,N/A,,,,N/A,,,,Adosada,,,,
Casa en Sant Muç-Castellnou-Can Mir,D & HABITAT,1.973 €/m²,379.000 €,192 m²,https://www.pisos.com/comprar/casa-sant_muc_castellnou_can_mir-45874704285_510396/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_occidental_sud (BCN),192 m²,3,2,,En buen estado,510396-0010478,,N/A,161 m²,,Entre 10 y 20 años,,Roble,,Aluminio,N/A,Frío y calor,Central,N/A,50 m² salida a terraza,,,Oeste,2,,,N/A,,N/A,N/A,N/A,,,,Privado,,,,N/A,,,,,,,,
Piso en Carrer de Plaute,PERITAX,2.315 €/m²,169.000 €,73 m²,https://www.pisos.com/comprar/piso-can_rull08206-50922549611_100500/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),73 m²,3,1,Bajo,,SA730-V10704/2691,,N/A,64 m²,,Más de 50 años,,,Terrazo,,,,N/A,,,,,Este,,,,,N/A,,,,N/A,,,,N/A,,,,,,,,N/A,,,
Piso en Cordelles,ImmoTESA,2.477 €/m²,270.000 €,109 m²,https://www.pisos.com/comprar/piso-centre_cordelles-45032447083_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),109 m²,3,2,2ª,Reformado,EP63-19711763,N/A,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Rull,GESTILLAR,2.809 €/m²,295.000 €,105 m²,https://www.pisos.com/comprar/piso-can_rull08206-48336336353_108500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,3,2,,,AG560-10959,N/A,No acristalada,81 m²,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Bateria,FINQUES BO,1.250 €/m²,250.000 €,200 m²,https://www.pisos.com/comprar/casa-can_sant_joan-43352754786_517220/,Anuncio actualizado el 18/02/2025,"G, G","G, G",valles_occidental_sud (BCN),200 m²,5,2,,En buen estado,4517220-FBO 648,,N/A,180 m²,,Entre 30 y 50 años,,,Gres,Aluminio,,Frío y calor,Gas natural,,,,,Este,1,,2,N/A,,,,,,,,Privado,,,,,,,,,,N/A,,
Piso en Carrer de Sol i Padrís,FINSA SABADELL,2.868 €/m²,218.000 €,76 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-50894750987_518064/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_sud (BCN),76 m²,2,1,1ª,En buen estado,4518064-3938,N/A,,66 m²,N/A,Entre 10 y 20 años,Entre 40 y 60 €,Haya,Gres,Aluminio,N/A,,Gas natural,9m²,20m²,,N/A,Sur,1,,,N/A,,,,,,,,,,Orientación sur,,,N/A,N/A,,,,,,
Casa en Carrer del Penedès,FINSA SABADELL,1.017 €/m²,415.000 €,408 m²,https://www.pisos.com/comprar/casa-ca_noriac-29208389020_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_sud (BCN),408 m²,6,4,,En buen estado,SA4315-3847,,N/A,229 m²,,Entre 20 y 30 años,,N/A,Gres,Madera,,,Gasoil,18m²,40m²,N/A,,Norte,Más de 2,,1,N/A,,N/A,N/A,N/A,,159 m²,,,,,,,,,,,N/A,,,
Apartamento en Eixample-Sant Oleguer,Durán Carasso,2.770 €/m²,399.000 €,144 m²,https://www.pisos.com/comprar/apartamento-eixample_sant_oleguer08203-45054891495_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),144 m²,3,2,,,BM201-ON0033/8,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Via Aurèlia,FINQUES ALFI,2.704 €/m²,265.000 €,98 m²,https://www.pisos.com/comprar/piso-la_concordia08206-42541028273_518762/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),98 m²,3,1,2ª,Reformado,518762-002826,N/A,N/A,90 m²,N/A,Entre 30 y 50 años,,,Parquet,Aluminio,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,N/A,,,,2,N/A,N/A,,,,,,,,,N/A,N/A,,,,,,,,,
Piso en Centro,ImmoTESA,1.786 €/m²,134.000 €,75 m²,https://www.pisos.com/comprar/piso-badia_del_valles_centro_urbano-47508767718_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),75 m²,2,1,2ª,En buen estado,EP63-19711798A,N/A,,,N/A,,,,,,,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Narcís Giralt, 20",PERITAX,2.700 €/m²,459.000 €,170 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08202-45888104940_100500/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),170 m²,5,3,2ª,,SA730-V10686/2691,N/A,N/A,156 m²,,Entre 30 y 50 años,,,Parquet,,,N/A,Gas natural,,N/A,,N/A,Este,1,,1,,N/A,,,,N/A,,,,N/A,,,,,,,,N/A,,,
Ático en Carrer de la Bona Sort,JC Immobles Sabadell,2.188 €/m²,186.000 €,85 m²,https://www.pisos.com/comprar/atico-sabadell_el_poblenou08202-48393640028_527045/,Anuncio actualizado el 18/02/2025,"B, B","B, B",valles_occidental_sud (BCN),85 m²,3,2,2ª,En buen estado,527045-JC92,N/A,,85 m²,Con balcón,Entre 5 y 10 años,Entre 40 y 60 €,Madera de cerezo,Parquet,Aluminio,,Frío,Eléctrica,N/A,N/A,Zona habilitada en la terraza,N/A,Noreste,,,2,N/A,N/A,,,,,,,,,Orientación perfecta para sol de mañanas,N/A,,N/A,N/A,,,,,,
Casa en Carrer Major,CANO & PUJOL,4.191 €/m²,830.000 €,198 m²,https://www.pisos.com/comprar/casa-sant_cugat_del_valles_centre08172-48346054609_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),198 m²,4,3,,,EP1034-5308,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,N/A,,,,,N/A,,,,,,,,
Piso en Carrer del Collell,SOLESPAI Inmobiliaria,1.707 €/m²,140.000 €,82 m²,https://www.pisos.com/comprar/piso-sabadell_el_poblenou08202-48344013101_100500/,Anuncio actualizado el 07/02/2025,"G, G","G, G",valles_occidental_sud (BCN),82 m²,3,1,Bajo,,SA2017-01753/7445,,,77 m²,,Más de 50 años,,,Gres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de Barberà, 447",PERITAX,3.806 €/m²,243.638 €,64 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-48420751793_100500/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),64 m²,2,2,3ª,,SA730-G000531/2691,N/A,N/A,57 m²,,Menos de 5 años,,,,,,,Gas natural,,,,N/A,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Creu de Barberà,ImmoTESA,3.248 €/m²,211.152 €,65 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera-47577661663_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),65 m²,2,2,1ª,Reformado,EP63-19711802,N/A,,,N/A,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Creu de Barbera,CLAU Immobiliària.,2.132 €/m²,145.000 €,68 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-51670000277_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),68 m²,3,1,3ª,En buen estado,SA76-25004,,,67 m²,N/A,Más de 50 años,Entre 20 y 40 €,,Gres,,,Frío,Gas natural,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Fatjó,FS FINQUES,1.666 €/m²,175.000 €,105 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-40920782714_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,3,2,Bajo,,SA411-FSP425/4962,,,78 m²,,Entre 30 y 50 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Ronda del Ponent, 74",COLDWELL BANKER STYLE REAL ESTATE,3.467 €/m²,215.000 €,62 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-41763077790_106700/,Anuncio actualizado el 13/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),62 m²,2,1,,,IFC76326-CBMT386A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de Barberà, 447",PERITAX,3.350 €/m²,214.401 €,64 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-48354051873_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),64 m²,2,2,2ª,,SA730-G000527/2691,N/A,,57 m²,,Menos de 5 años,,,,,,,Gas natural,,,,N/A,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Barri dels Merinals,PERITAX,1.956 €/m²,135.000 €,69 m²,https://www.pisos.com/comprar/piso-els_merinals08205-50871547164_100500/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,3,1,3ª,,SA730-G8143/2691,,,60 m²,,Más de 50 años,,,Gres,,,,N/A,,,,,Este,,,1,,,,,,N/A,,,,,,,,,,,,,,,
Casa adosada en Parc Central,Grup Tecnocasa Sant Cugat,3.756 €/m²,695.000 €,185 m²,https://www.pisos.com/comprar/casa_adosada-parc_central08173-49191068812_100200/,Anuncio actualizado el 24/01/2025,"B, B","B, B",valles_occidental_sud (BCN),185 m²,4,2,,En buen estado,TC423-601114,,N/A,,,Entre 30 y 50 años,,,,,,N/A,,,,,,,1,,,,,,,,,,N/A,,,,,,,,,Adosada,,,,
Chalet en Centre,Flamat Sabadell,1.867 €/m²,450.000 €,241 m²,https://www.pisos.com/comprar/chalet-centre_covadonga_centre08201-51723666017_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),241 m²,6,3,,En buen estado,SA5628-EN- CENTRE,,N/A,168 m²,,Más de 50 años,,,,,,Frío,,Cocina amueblada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu de Barbera,VALLES INMOBILIARIA,3.203 €/m²,221.036 €,69 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-48428200159_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,2,2,1ª,,SA4822-000523-/10724,N/A,,62 m²,,Menos de 5 años,,,,,,,Gas natural,,,,,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
