nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Referencia,Terraza,Jardín,Piscina,Planta,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Aire acondicionado,Calefacción,Cocina equipada,Ascensor,Balcón,Orientación,Agua,Chimenea,Comedor,Garaje,Urbanizado,Puerta blindada,Trastero,Carpintería interior,Vidrios dobles,Carpintería exterior,Portero automático,Sistema de seguridad,Gas,Teléfono,Adaptado a personas con movilidad reducida,Soleado,Lavadero,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Armarios empotrados,Tipo de casa,No se aceptan mascotas,Interior,Amueblado,Luz
Chalet en Olesa de Bonesvalls,Alemany Real Estate,1.253 €/m²,395.000 €,315 m²,https://www.pisos.com/comprar/chalet-olesa_de_bonesvalls_centro_urbano-49252229859_100500/,Anuncio actualizado el 17/02/2025,"F, G","F, G",alt_penedes (BCN),315 m²,310 m²,2.200 m²,5,4,Entre 20 y 30 años,SA1889-A02255/5298,N/A,N/A,,,,,,,,,,,,,N/A,N/A,,1,N/A,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Diputació,Finques Pardas,806 €/m²,199.999 €,248 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-89237711947_513967/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),248 m²,248 m²,93 m²,6,3,Más de 50 años,513967-C-0110,N/A,Privado,,,,A reformar,,,,,N/A,,,,,,N/A,,N/A,,,,,,,,,,,,N/A,,N/A,,,,,,,
Casa en Avinguda de Josep Anselm Clavé,Engel & Völkers MMC Barcelona,796 €/m²,680.000 €,854 m²,https://www.pisos.com/comprar/casa-sant_marti_sarroca_centro_urbano-10866717384_101800/,Anuncio actualizado el 08/09/2024,"E, E","E, E",alt_penedes (BCN),854 m²,,1.161 m²,6,3,Más de 50 años,IF76306-I-00U6FQ-W-02KJPM,N/A,Privado,Propia,,,,,,,Central,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,
Casa en Carrer del Mestre Antoni Torelló,Finques Pardas,636 €/m²,350.000 €,550 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-92596659592_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),550 m²,550 m²,141 m²,6,3,,513967-C-0120,N/A,,,,,En buen estado,,,,Gas natural,N/A,,,,,N/A,N/A,,N/A,,,,,Madera,,,,,N/A,,N/A,N/A,N/A,N/A,,,,,,
Casa en Daltmar-Olerdola,Alemany Real Estate,948 €/m²,220.000 €,232 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-47507780586_100500/,Anuncio actualizado el 17/02/2025,"C, C","C, C",alt_penedes (BCN),232 m²,230 m²,1.200 m²,5,2,Más de 50 años,SA1889-A02157/5298,N/A,N/A,Comunitaria,,,,,,,,,,,,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en La Girada,HABITAT NOU,3.644 €/m²,291.544 €,80 m²,https://www.pisos.com/comprar/piso-la_girada-50861293053_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),80 m²,75 m²,,2,2,,IFC75985-VRR FASE 4 BAIXOS,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
"Chalet en Carrer de la Muntanya del Papiol, nº .",IAD ESPAÑA,1.081 €/m²,449.950 €,416 m²,https://www.pisos.com/comprar/chalet-olerdola_centro_urbano-48388739531_108700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),416 m²,416 m²,655 m²,5,2,Entre 20 y 30 años,UVC882-24188,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Girada,HABITAT NOU,3.291 €/m²,276.444 €,84 m²,https://www.pisos.com/comprar/piso-la_girada-50839545603_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),84 m²,74 m²,,2,2,,IFC75985-VRR FASE 4 3-C,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Finca rústica en Sant Marçal,PREMIUM HOUSES SITGES,114 €/m²,1.400.000 €,1.314 m²,https://www.pisos.com/comprar/finca_rustica-castellet_i_la_gornal_centro_urbano-50041188560_100500/,Anuncio actualizado el 13/12/2024,"E, D","E, D",alt_penedes (BCN),1.314 m²,900 m²,12.275 m²,10,3,,SA1988-PHS100975/7088,N/A,,,,,,,,,,,,,Suroeste,N/A,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,
Chalet en Valldemar,MERKAPISO - CALAFELL,1.004 €/m²,240.000 €,239 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-51704297720_100500/,Anuncio actualizado el 19/02/2025,"D, D","D, D",alt_penedes (BCN),239 m²,200 m²,676 m²,4,2,Entre 30 y 50 años,SA998-0060-26-02/1639,N/A,N/A,Propia,,,,,Terrazo,,Eléctrica,,,,Sur,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Dúplex en La Girada,HABITAT NOU,4.125 €/m²,540.437 €,131 m²,https://www.pisos.com/comprar/duplex-la_girada-50856341466_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),131 m²,110 m²,,3,2,,IFC75985-VRR FASE 4 5-B,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en calle Entesa,HOME71,2.348 €/m²,293.500 €,125 m²,https://www.pisos.com/comprar/casa_adosada-castellet_i_la_gornal_centro_urbano-50908067220_100500/,Anuncio actualizado el 21/01/2025,"A, A","A, A",alt_penedes (BCN),125 m²,117 m²,,4,3,Menos de 5 años,SA3926-VM100773-09/7019,N/A,N/A,Propia,,,,,Gres,N/A,,,,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,,,Adosada,,,,
Casa en Carrer del Doctor Escayola,Finques Pardas,675 €/m²,350.000 €,518 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-23407883695_513967/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),518 m²,500 m²,312 m²,6,2,Más de 50 años,513967-C-0172,,,,,,A reformar,,,,,,,,,,N/A,N/A,,N/A,,,N/A,,Madera,,,,N/A,,,N/A,N/A,N/A,,,,,,,
Piso en La Girada,HABITAT NOU,3.439 €/m²,288.881 €,84 m²,https://www.pisos.com/comprar/piso-la_girada-50845713374_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),84 m²,73 m²,,2,2,,IFC75985-VRR FASE 4 4-D,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa en Sant Pere de Riudebitlles,IMMOMAX,610 €/m²,745.000 €,1.220 m²,https://www.pisos.com/comprar/casa-sant_pere_de_riudebitlles_centro_urbano-44241554534_109300/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),1.220 m²,280 m²,,5,2,,EP950-16423,,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Doctor Escayola,Finques Pardas,1.608 €/m²,185.000 €,115 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-49224765755_513967/,Anuncio actualizado el 17/02/2025,"G, F","G, F",alt_penedes (BCN),115 m²,10 m²,,2,1,Entre 30 y 50 años,513967-P-341,N/A,,,1ª,,Reformado,,N/A,,,N/A,,N/A,Sur,,,N/A,,,,N/A,N/A,N/A,Aluminio,,,,,,N/A,N/A,,,N/A,,,,,,
Piso en Centro,FINQUES SIP,2.027 €/m²,148.000 €,73 m²,https://www.pisos.com/comprar/piso-les_clotes-44252027761_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",alt_penedes (BCN),73 m²,70 m²,,3,1,Más de 50 años,SA5343-09910/9669,N/A,,,1ª,,,,,N/A,Eléctrica,,N/A,N/A,Oeste,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Costa Cunit Castellet,FINQUES SERRANO,1.275 €/m²,315.000 €,247 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-51702194293_100500/,Anuncio actualizado el 05/02/2025,"G, G","G, G",alt_penedes (BCN),247 m²,,957 m²,4,3,Entre 20 y 30 años,SA5332-3020C/5455,N/A,N/A,N/A,,,,,Gres,N/A,N/A,,,,Sureste,N/A,N/A,,1,N/A,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Olesa de Bonesvalls,Engel & Völkers MMC Barcelona,1.319 €/m²,522.500 €,396 m²,https://www.pisos.com/comprar/casa-olesa_de_bonesvalls_centro_urbano-49251925969_101800/,Anuncio actualizado el 03/02/2025,"E, E","E, E",alt_penedes (BCN),396 m²,,1.318 m²,4,3,Entre 20 y 30 años,IF76306-I-00YTN1-W-02XPCI,N/A,Privado,Propia,,,,,,,Central,,,,,,,,1,,,N/A,,,,,,,,,,N/A,,,,1,,,,N/A,
Casa en Sant Miquel d'Olèrdola,Engel & Völkers MMC Barcelona,1.928 €/m²,650.000 €,337 m²,https://www.pisos.com/comprar/casa-sant_miquel_olerdola-38342809980_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),337 m²,,824 m²,5,3,Entre 20 y 30 años,IF76306-I-00XJKY-W-02T41T,N/A,Privado,Propia,,,,,,,,N/A,,,Norte,,,,1,,,N/A,,,,,,,,,,N/A,,,,1,,,,,
Casa rústica en Carrer del Castell,Engel & Völkers MMC Barcelona,1.871 €/m²,1.295.000 €,692 m²,https://www.pisos.com/comprar/casa_rustica-castellet_i_la_gornal_centro_urbano-40016059850_101800/,Anuncio actualizado el 06/12/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),692 m²,,1.136 m²,7,4,Más de 50 años,IF76306-I-00XTHE-W-02P5MZ,,Privado,Propia,,,,,,,,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,N/A,,,,,Rústica,,,,
Piso en Carrer de la Carretera,Finques Pardas,1.069 €/m²,139.000 €,130 m²,https://www.pisos.com/comprar/piso-sant_pere_de_riudebitlles_centro_urbano-50025074836_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),130 m²,119 m²,,4,2,Entre 30 y 50 años,513967-P-340,N/A,,,1ª,N/A,En buen estado,,Gres,,Gas natural,N/A,,N/A,Sur,,,N/A,1,,,N/A,,,Aluminio,,,,,,,,,,N/A,Más de 2,,,,,
Casa en Pacs del Penedès,Engel & Völkers MMC Barcelona,3.200 €/m²,480.000 €,150 m²,https://www.pisos.com/comprar/casa-pacs_del_penedes_centro_urbano-51744098047_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),150 m²,,400 m²,4,2,Entre 30 y 50 años,IF76306-I-00WRSE-W-02PMMC,N/A,Privado,,,,,,,,Central,N/A,,,,,,,1,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en La Girada,HABITAT NOU,3.424 €/m²,287.699 €,84 m²,https://www.pisos.com/comprar/piso-la_girada-50860348231_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),84 m²,74 m²,,2,2,,IFC75985-VRR FASE 4 4-C,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa en Can Trabal,OPEN INMO,1.456 €/m²,300.000 €,206 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-48408558220_100500/,Anuncio actualizado el 07/02/2025,"G, F","G, F",alt_penedes (BCN),206 m²,180 m²,844 m²,5,2,Más de 50 años,SA1406-OI02010/5763,N/A,N/A,Propia,,,,,Gres,,,,,,Este,N/A,N/A,N/A,1,N/A,,N/A,,,,,,,N/A,,,,,,,1,,,,,
Casa en Daltmar-Olerdola,OPEN INMO,952 €/m²,280.000 €,294 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-43366144068_106700/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),294 m²,147 m²,,4,2,Entre 10 y 20 años,SA1406-OI01849/5763,N/A,N/A,,,,,,Gres,,Gas natural,,,,Sur,N/A,N/A,,1,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer del Raval,Finques Pardas,426 €/m²,225.000 €,527 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-84187623895_513967/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),527 m²,365 m²,140 m²,,,,513967-C-0105,N/A,,,,,En buen estado,,,,,,,,,,,,,N/A,,,,,Madera,,,,,,,,N/A,N/A,,,,,,,
Casa en Plaça de Sant Jaume,Finques Pardas,757 €/m²,250.000 €,330 m²,https://www.pisos.com/comprar/casa-sant_cugat_sesgarrigues_centro_urbano-25921649624_513967/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),330 m²,310 m²,110 m²,8,3,Más de 50 años,513967-C-0174,,,,,,A reformar,,N/A,,Gas natural,,,,Noroeste,,N/A,,,N/A,,,,,Madera,,,,,,,,N/A,N/A,N/A,,,,,,
Dúplex en La Girada,HABITAT NOU,3.842 €/m²,484.194 €,126 m²,https://www.pisos.com/comprar/duplex-la_girada-50897534584_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),126 m²,110 m²,,3,2,,IFC75985-VRR FASE 4 5-C,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa rústica en Torrelles de Foix,Engel & Völkers MMC Barcelona,2.135 €/m²,1.495.000 €,700 m²,https://www.pisos.com/comprar/casa_rustica-torrelles_de_foix_centro_urbano-39251745816_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),700 m²,,130.000 m²,9,6,Más de 50 años,IF76306-I-00W5WK-W-02JP3F,N/A,Privado,Propia,,,,,,,Central,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,N/A,,,,,Rústica,,,,
Casa en Sant Llorenç D Hortons,BEST HOUSE MARTORELL,1.330 €/m²,399.000 €,300 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-49227646306_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),300 m²,290 m²,11.000 m²,5,2,Entre 10 y 20 años,SA449-746167/3134,N/A,N/A,,,,,,Tarima maciza,N/A,N/A,,,,Sur,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,1,,,,N/A,
Casa en Gelida,Engel & Völkers MMC Barcelona,1.262 €/m²,750.000 €,594 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-3419141150_101800/,Anuncio actualizado el 21/05/2024,"G, F","G, F",alt_penedes (BCN),594 m²,,845 m²,4,5,Entre 30 y 50 años,IF76306-I-00TGFN-W-02INST,N/A,Privado,Propia,,,,,,,Central,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,N/A,,,,1,,,,,
Piso en La Girada,HABITAT NOU,3.306 €/m²,290.944 €,88 m²,https://www.pisos.com/comprar/piso-la_girada-50863331500_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),88 m²,78 m²,,2,2,,IFC75985-VRR FASE 4 3-B,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Piso en La Girada,HABITAT NOU,3.766 €/m²,203.409 €,54 m²,https://www.pisos.com/comprar/piso-la_girada-50861820236_106700/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),54 m²,47 m²,,2,1,,IFC75985-VRR FASE 4 5-A,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
"Chalet en Avenida Llevant, Urb.La Ponderosa",Aliseda Inmobiliaria,663 €/m²,75.000 €,113 m²,https://www.pisos.com/comprar/chalet-pontons_centro_urbano-44251025539_107000/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),113 m²,,,2,3,,AS1-ALI0000127057,,N/A,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Gelida,Engel & Völkers MMC Barcelona,994 €/m²,350.000 €,352 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-11675159525_101800/,Anuncio actualizado el 12/07/2024,"E, E","E, E",alt_penedes (BCN),352 m²,,1.105 m²,5,4,Entre 20 y 30 años,IF76306-I-00UA1Y-W-02KHBN,N/A,Privado,Propia,,,,,,,Central,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,,,,,1,,,,N/A,
Piso en La Girada,HABITAT NOU,3.621 €/m²,191.950 €,53 m²,https://www.pisos.com/comprar/piso-la_girada-50862625310_106700/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),53 m²,47 m²,,2,1,,IFC75985-VRR FASE 4 2-A,,,,,,,,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa en Vilobí del Penedès,FINQUES SIP,924 €/m²,160.000 €,173 m²,https://www.pisos.com/comprar/casa-vilobi_del_penedes_centro_urbano-48416076092_100500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",alt_penedes (BCN),173 m²,155 m²,,3,1,Más de 50 años,SA5343-09430/9669,,,,,,,,,N/A,,,,,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,1,,,,,
Casa en Poble Nou,Engel & Völkers MMC Barcelona,1.370 €/m²,259.000 €,189 m²,https://www.pisos.com/comprar/casa-vilafranca_del_penedes_poble_nou-41677610902_101800/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),189 m²,,62 m²,3,1,Más de 50 años,IF76306-I-00Y0AL-W-02UV4Z,N/A,,,,,,,,,Central,N/A,,,,,,,1,,,N/A,,,,,,,,,,N/A,,,,,,,,N/A,
Casa en Carrer del Puig,Engel & Völkers MMC Barcelona,1.872 €/m²,1.700.000 €,908 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-49264394579_101800/,Anuncio actualizado el 06/11/2024,"E, E","E, E",alt_penedes (BCN),908 m²,,12.660 m²,6,8,,IF76306-I-00YS4Q-W-02XD4L,N/A,Privado,Propia,,,,,,,Central,N/A,,,,,,,1,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Carrer del Nord,Aliseda Inmobiliaria,1.112 €/m²,99.000 €,89 m²,https://www.pisos.com/comprar/piso-centre_vila-42528696183_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),89 m²,,,3,1,,AN1-ANT00030676325,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Plana de Les Torres,FINQUES SIP,1.401 €/m²,220.000 €,157 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-45874047967_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",alt_penedes (BCN),157 m²,150 m²,900 m²,4,2,Más de 50 años,SA5343-09953/9669,,N/A,,,,,,,,,,,,,N/A,N/A,,1,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Casa rústica en Subirats,Engel & Völkers MMC Barcelona,2.140 €/m²,2.750.000 €,1.285 m²,https://www.pisos.com/comprar/casa_rustica-subirats_centro_urbano-30005167244_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),1.285 m²,,45.000 m²,8,6,,IF76306-I-00USNZ-W-02LZ9H,N/A,Privado,Propia,,,,,,,Central,N/A,,,,,,,1,,,N/A,,,,,,,,,,N/A,,,,,Rústica,,,,
Ático en Sant Sadurní d'Anoia,Engel & Völkers MMC Barcelona,1.597 €/m²,269.999 €,169 m²,https://www.pisos.com/comprar/atico-sant_sadurni_anoia_centro_urbano-45916340775_101800/,Anuncio actualizado el 12/08/2024,"E, E","E, E",alt_penedes (BCN),169 m²,,,4,2,Entre 10 y 20 años,IF76306-I-00YEE8-W-02W5TW,N/A,,,2ª,,,,,,Central,,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Torrelletes,Engel & Völkers MMC Barcelona,1.805 €/m²,260.000 €,144 m²,https://www.pisos.com/comprar/casa-torrelletes-23385478987_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),144 m²,,,4,2,Menos de 5 años,IF76306-I-00VK64-W-02O8O1,N/A,,,,,,,,,Central,N/A,,,Sur,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Coral,FINQUES SIP,1.700 €/m²,170.000 €,100 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-44243256921_100500/,Anuncio actualizado el 20/02/2025,"F, F","F, F",alt_penedes (BCN),100 m²,73 m²,650 m²,3,1,Entre 30 y 50 años,SA5343-009190/9669,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,N/A,
Casa en Les Cabanyes,Engel & Völkers MMC Barcelona,1.417 €/m²,370.000 €,261 m²,https://www.pisos.com/comprar/casa-les_cabanyes-39265038448_101800/,Anuncio actualizado el 14/02/2025,"D, D","D, D",alt_penedes (BCN),261 m²,,186 m²,5,3,Entre 20 y 30 años,IF76306-I-00XP45-W-02TSIT,,Privado,,,,,,,,Central,N/A,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Casa en Olèrdola,Engel & Völkers MMC Barcelona,1.679 €/m²,640.000 €,381 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-50904287676_101800/,Anuncio actualizado el 20/01/2025,"E, E","E, E",alt_penedes (BCN),381 m²,,696 m²,6,3,Entre 30 y 50 años,IF76306-I-00YXET-W-02XOQT,N/A,Privado,,,,,,,,Central,N/A,,,,,,,1,,,N/A,,,,,,,,,,N/A,,,,1,,,,,
Casa en Carrer de les Moreres,"Punt Sagrada Família, S.L.",390 €/m²,659.000 €,1.688 m²,https://www.pisos.com/comprar/casa-subirats_centro_urbano-51703763498_103700/,Anuncio actualizado el 17/02/2025,"D, D","D, D",alt_penedes (BCN),1.688 m²,596 m²,,5,4,Más de 50 años,BLU5-LCB34932,N/A,N/A,,,,En buen estado,,,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,N/A,,,,,,
Piso en Carrer d'Aragó,Finques Pardas,2.931 €/m²,129.000 €,44 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-49186772930_513967/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),44 m²,44 m²,,1,1,Menos de 5 años,513967-P-337,,,,Bajo,,A estrenar,,Parquet,,Eléctrica,N/A,,,Noreste,,,N/A,,,N/A,N/A,,N/A,Aluminio,N/A,,,,N/A,,,,,N/A,,,,,,
Casa en El Carrer del Bosc,Engel & Völkers MMC Barcelona,1.812 €/m²,995.000 €,549 m²,https://www.pisos.com/comprar/casa-el_carrer_del_bosc-39234887016_101800/,Anuncio actualizado el 04/12/2024,"A, A","A, A",alt_penedes (BCN),549 m²,,600 m²,6,5,Menos de 5 años,IF76306-I-00XNOD-W-02THSW,N/A,Privado,Propia,,,,,,,Central,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,,,,,1,,,,,
Casa en Carrer del Tinent Coronel Sagués,Finques Pardas,1.036 €/m²,340.000 €,328 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-45085986242_513967/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),328 m²,318 m²,150 m²,7,3,Entre 30 y 50 años,513967-C-0205,N/A,,,,,En buen estado,,N/A,,Gas natural,N/A,,,Suroeste,,,N/A,1,,,,,,Madera,,,,,,,N/A,N/A,N/A,N/A,1,,,,,
Casa en Mediona,Engel & Völkers MMC Barcelona,2.549 €/m²,520.000 €,204 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-32548548442_101800/,Anuncio actualizado el 12/09/2024,"E, E","E, E",alt_penedes (BCN),204 m²,,1.519 m²,4,2,Entre 30 y 50 años,IF76306-I-00WSU1-W-02RC4V,,Privado,Propia,,,,,,,Central,N/A,,,A la montaña,,,,1,,,N/A,,,,,,,,,,N/A,,,,1,,,,,
Casa en Can Castellví,FINQUES SIP,1.200 €/m²,180.000 €,150 m²,https://www.pisos.com/comprar/casa-font_rubi_centro_urbano-48346051029_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",alt_penedes (BCN),150 m²,100 m²,996 m²,3,2,Entre 30 y 50 años,SA5343-008175/9669,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa en Passeig de la Cantillepa,CANO & PUJOL,1.761 €/m²,990.000 €,562 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-48381256189_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),562 m²,,,5,3,,EP1034-5614,N/A,,Propia,,,Reformado,,,,,N/A,,,,N/A,N/A,,Más de 2,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,
Casa adosada en Carrer de Can Costa,Aliseda Inmobiliaria,334 €/m²,129.600 €,388 m²,https://www.pisos.com/comprar/casa_adosada-olesa_de_bonesvalls_centro_urbano-41699736404_105900/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),388 m²,,,3,1,,AN1-ANT00030667753,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,
Casa en Sant Sadurní d'Anoia,Engel & Völkers MMC Barcelona,1.000 €/m²,225.000 €,225 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-45019518080_101800/,Anuncio actualizado el 04/10/2024,"E, E","E, E",alt_penedes (BCN),225 m²,,175 m²,5,3,Más de 50 años,IF76306-I-00YCOP-W-02VZLO,N/A,,,,,,,,,Central,,,,,,,,1,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de les Moreres,Finques Pardas,979 €/m²,280.000 €,286 m²,https://www.pisos.com/comprar/chalet-subirats_centro_urbano-72556192317_109200/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),286 m²,270 m²,,4,4,,513967-U-0040,N/A,,,,,En buen estado,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,N/A,,,,,,,,N/A,
